,엔진 갤런당 마일 수,엔진의 실린더 수,엔진 변위,자동차의 마력,자동차의 중량,자동차의 가속도,자동차의 연식,생산 국가,차 이름
0,18.0,8,307.0,130,3504,12.0,70,america,chevrolet_chevelle_malibu
1,15.0,8,350.0,165,3693,11.5,70,america,buick_skylark_320
2,18.0,8,318.0,150,3436,11.0,70,america,plymouth_satellite
3,16.0,8,304.0,150,3433,12.0,70,america,amc_rebel_sst
4,17.0,8,302.0,140,3449,10.5,70,america,ford_torino
5,15.0,8,429.0,198,4341,10.0,70,america,ford_galaxie_500
6,14.0,8,454.0,220,4354,9.0,70,america,chevrolet_impala
7,14.0,8,440.0,215,4312,8.5,70,america,plymouth_fury_iii
8,14.0,8,455.0,225,4425,10.0,70,america,pontiac_catalina
9,15.0,8,390.0,190,3850,8.5,70,america,amc_ambassador_dpl
10,15.0,8,383.0,170,3563,10.0,70,america,dodge_challenger_se
11,14.0,8,340.0,160,3609,8.0,70,america,plymouth_'cuda_340
12,15.0,8,400.0,150,3761,9.5,70,america,chevrolet_monte_carlo
13,14.0,8,455.0,225,3086,10.0,70,america,buick_estate_wagon_(sw)
14,24.0,4,113.0,95,2372,15.0,70,asia or other,toyota_corona_mark_ii
15,22.0,6,198.0,95,2833,15.5,70,america,plymouth_duster
16,18.0,6,199.0,97,2774,15.5,70,america,amc_hornet
17,21.0,6,200.0,85,2587,16.0,70,america,ford_maverick
18,27.0,4,97.0,88,2130,14.5,70,asia or other,datsun_pl510
19,26.0,4,97.0,46,1835,20.5,70,europe,volkswagen_1131_deluxe_sedan
20,25.0,4,110.0,87,2672,17.5,70,europe,peugeot_504
21,24.0,4,107.0,90,2430,14.5,70,europe,audi_100_ls
22,25.0,4,104.0,95,2375,17.5,70,europe,saab_99e
23,26.0,4,121.0,113,2234,12.5,70,europe,bmw_2002
24,21.0,6,199.0,90,2648,15.0,70,america,amc_gremlin
25,10.0,8,360.0,215,4615,14.0,70,america,ford_f250
26,10.0,8,307.0,200,4376,15.0,70,america,chevy_c20
27,11.0,8,318.0,210,4382,13.5,70,america,dodge_d200
28,9.0,8,304.0,193,4732,18.5,70,america,hi_1200d
29,27.0,4,97.0,88,2130,14.5,71,asia or other,datsun_pl510
30,28.0,4,140.0,90,2264,15.5,71,america,chevrolet_vega_2300
31,25.0,4,113.0,95,2228,14.0,71,asia or other,toyota_corona
32,19.0,6,232.0,100,2634,13.0,71,america,amc_gremlin
33,16.0,6,225.0,105,3439,15.5,71,america,plymouth_satellite_custom
34,17.0,6,250.0,100,3329,15.5,71,america,chevrolet_chevelle_malibu
35,19.0,6,250.0,88,3302,15.5,71,america,ford_torino_500
36,18.0,6,232.0,100,3288,15.5,71,america,amc_matador
37,14.0,8,350.0,165,4209,12.0,71,america,chevrolet_impala
38,14.0,8,400.0,175,4464,11.5,71,america,pontiac_catalina_brougham
39,14.0,8,351.0,153,4154,13.5,71,america,ford_galaxie_500
40,14.0,8,318.0,150,4096,13.0,71,america,plymouth_fury_iii
41,12.0,8,383.0,180,4955,11.5,71,america,dodge_monaco_(sw)
42,13.0,8,400.0,170,4746,12.0,71,america,ford_country_squire_(sw)
43,13.0,8,400.0,175,5140,12.0,71,america,pontiac_safari_(sw)
44,18.0,6,258.0,110,2962,13.5,71,america,amc_hornet_sportabout_(sw)
45,22.0,4,140.0,72,2408,19.0,71,america,chevrolet_vega_(sw)
46,19.0,6,250.0,100,3282,15.0,71,america,pontiac_firebird
47,18.0,6,250.0,88,3139,14.5,71,america,ford_mustang
48,23.0,4,122.0,86,2220,14.0,71,america,mercury_capri_2000
49,28.0,4,116.0,90,2123,14.0,71,europe,opel_1900
50,30.0,4,79.0,70,2074,19.5,71,europe,peugeot_304
51,30.0,4,88.0,76,2065,14.5,71,europe,fiat_124b
52,31.0,4,71.0,65,1773,19.0,71,asia or other,toyota_corolla_1200
53,35.0,4,72.0,69,1613,18.0,71,asia or other,datsun_1200
54,27.0,4,97.0,60,1834,19.0,71,europe,volkswagen_model_111
55,26.0,4,91.0,70,1955,20.5,71,america,plymouth_cricket
56,24.0,4,113.0,95,2278,15.5,72,asia or other,toyota_corona_hardtop
57,25.0,4,97.5,80,2126,17.0,72,america,dodge_colt_hardtop
58,23.0,4,97.0,54,2254,23.5,72,europe,volkswagen_type_3
59,20.0,4,140.0,90,2408,19.5,72,america,chevrolet_vega
60,21.0,4,122.0,86,2226,16.5,72,america,ford_pinto_runabout
61,13.0,8,350.0,165,4274,12.0,72,america,chevrolet_impala
62,14.0,8,400.0,175,4385,12.0,72,america,pontiac_catalina
63,15.0,8,318.0,150,4135,13.5,72,america,plymouth_fury_iii
64,14.0,8,351.0,153,4129,13.0,72,america,ford_galaxie_500
65,17.0,8,304.0,150,3672,11.5,72,america,amc_ambassador_sst
66,11.0,8,429.0,208,4633,11.0,72,america,mercury_marquis
67,13.0,8,350.0,155,4502,13.5,72,america,buick_lesabre_custom
68,12.0,8,350.0,160,4456,13.5,72,america,oldsmobile_delta_88_royale
69,13.0,8,400.0,190,4422,12.5,72,america,chrysler_newport_royal
70,19.0,3,70.0,97,2330,13.5,72,asia or other,mazda_rx2_coupe
71,15.0,8,304.0,150,3892,12.5,72,america,amc_matador_(sw)
72,13.0,8,307.0,130,4098,14.0,72,america,chevrolet_chevelle_concours_(sw)
73,13.0,8,302.0,140,4294,16.0,72,america,ford_gran_torino_(sw)
74,14.0,8,318.0,150,4077,14.0,72,america,plymouth_satellite_custom_(sw)
75,18.0,4,121.0,112,2933,14.5,72,europe,volvo_145e_(sw)
76,22.0,4,121.0,76,2511,18.0,72,europe,volkswagen_411_(sw)
77,21.0,4,120.0,87,2979,19.5,72,europe,peugeot_504_(sw)
78,26.0,4,96.0,69,2189,18.0,72,europe,renault_12_(sw)
79,22.0,4,122.0,86,2395,16.0,72,america,ford_pinto_(sw)
80,28.0,4,97.0,92,2288,17.0,72,asia or other,datsun_510_(sw)
81,23.0,4,120.0,97,2506,14.5,72,asia or other,toyouta_corona_mark_ii_(sw)
82,28.0,4,98.0,80,2164,15.0,72,america,dodge_colt_(sw)
83,27.0,4,97.0,88,2100,16.5,72,asia or other,toyota_corolla_1600_(sw)
84,13.0,8,350.0,175,4100,13.0,73,america,buick_century_350
85,14.0,8,304.0,150,3672,11.5,73,america,amc_matador
86,13.0,8,350.0,145,3988,13.0,73,america,chevrolet_malibu
87,14.0,8,302.0,137,4042,14.5,73,america,ford_gran_torino
88,15.0,8,318.0,150,3777,12.5,73,america,dodge_coronet_custom
89,12.0,8,429.0,198,4952,11.5,73,america,mercury_marquis_brougham
90,13.0,8,400.0,150,4464,12.0,73,america,chevrolet_caprice_classic
91,13.0,8,351.0,158,4363,13.0,73,america,ford_ltd
92,14.0,8,318.0,150,4237,14.5,73,america,plymouth_fury_gran_sedan
93,13.0,8,440.0,215,4735,11.0,73,america,chrysler_new_yorker_brougham
94,12.0,8,455.0,225,4951,11.0,73,america,buick_electra_225_custom
95,13.0,8,360.0,175,3821,11.0,73,america,amc_ambassador_brougham
96,18.0,6,225.0,105,3121,16.5,73,america,plymouth_valiant
97,16.0,6,250.0,100,3278,18.0,73,america,chevrolet_nova_custom
98,18.0,6,232.0,100,2945,16.0,73,america,amc_hornet
99,18.0,6,250.0,88,3021,16.5,73,america,ford_maverick
100,23.0,6,198.0,95,2904,16.0,73,america,plymouth_duster
101,26.0,4,97.0,46,1950,21.0,73,europe,volkswagen_super_beetle
102,11.0,8,400.0,150,4997,14.0,73,america,chevrolet_impala
103,12.0,8,400.0,167,4906,12.5,73,america,ford_country
104,13.0,8,360.0,170,4654,13.0,73,america,plymouth_custom_suburb
105,12.0,8,350.0,180,4499,12.5,73,america,oldsmobile_vista_cruiser
106,18.0,6,232.0,100,2789,15.0,73,america,amc_gremlin
107,20.0,4,97.0,88,2279,19.0,73,asia or other,toyota_carina
108,21.0,4,140.0,72,2401,19.5,73,america,chevrolet_vega
109,22.0,4,108.0,94,2379,16.5,73,asia or other,datsun_610
110,18.0,3,70.0,90,2124,13.5,73,asia or other,maxda_rx3
111,19.0,4,122.0,85,2310,18.5,73,america,ford_pinto
112,21.0,6,155.0,107,2472,14.0,73,america,mercury_capri_v6
113,26.0,4,98.0,90,2265,15.5,73,europe,fiat_124_sport_coupe
114,15.0,8,350.0,145,4082,13.0,73,america,chevrolet_monte_carlo_s
115,16.0,8,400.0,230,4278,9.5,73,america,pontiac_grand_prix
116,29.0,4,68.0,49,1867,19.5,73,europe,fiat_128
117,24.0,4,116.0,75,2158,15.5,73,europe,opel_manta
118,20.0,4,114.0,91,2582,14.0,73,europe,audi_100ls
119,19.0,4,121.0,112,2868,15.5,73,europe,volvo_144ea
120,15.0,8,318.0,150,3399,11.0,73,america,dodge_dart_custom
121,24.0,4,121.0,110,2660,14.0,73,europe,saab_99le
122,20.0,6,156.0,122,2807,13.5,73,asia or other,toyota_mark_ii
123,11.0,8,350.0,180,3664,11.0,73,america,oldsmobile_omega
124,20.0,6,198.0,95,3102,16.5,74,america,plymouth_duster
125,21.0,6,200.0,?,2875,17.0,74,america,ford_maverick
126,19.0,6,232.0,100,2901,16.0,74,america,amc_hornet
127,15.0,6,250.0,100,3336,17.0,74,america,chevrolet_nova
128,31.0,4,79.0,67,1950,19.0,74,asia or other,datsun_b210
129,26.0,4,122.0,80,2451,16.5,74,america,ford_pinto
130,32.0,4,71.0,65,1836,21.0,74,asia or other,toyota_corolla_1200
131,25.0,4,140.0,75,2542,17.0,74,america,chevrolet_vega
132,16.0,6,250.0,100,3781,17.0,74,america,chevrolet_chevelle_malibu_classic
133,16.0,6,258.0,110,3632,18.0,74,america,amc_matador
134,18.0,6,225.0,105,3613,16.5,74,america,plymouth_satellite_sebring
135,16.0,8,302.0,140,4141,14.0,74,america,ford_gran_torino
136,13.0,8,350.0,150,4699,14.5,74,america,buick_century_luxus_(sw)
137,14.0,8,318.0,150,4457,13.5,74,america,dodge_coronet_custom_(sw)
138,14.0,8,302.0,140,4638,16.0,74,america,ford_gran_torino_(sw)
139,14.0,8,304.0,150,4257,15.5,74,america,amc_matador_(sw)
140,29.0,4,98.0,83,2219,16.5,74,europe,audi_fox
141,26.0,4,79.0,67,1963,15.5,74,europe,volkswagen_dasher
142,26.0,4,97.0,78,2300,14.5,74,europe,opel_manta
143,31.0,4,76.0,52,1649,16.5,74,asia or other,toyota_corona
144,32.0,4,83.0,61,2003,19.0,74,asia or other,datsun_710
145,28.0,4,90.0,75,2125,14.5,74,america,dodge_colt
146,24.0,4,90.0,75,2108,15.5,74,europe,fiat_128
147,26.0,4,116.0,75,2246,14.0,74,europe,fiat_124_tc
148,24.0,4,120.0,97,2489,15.0,74,asia or other,honda_civic
149,26.0,4,108.0,93,2391,15.5,74,asia or other,subaru
150,31.0,4,79.0,67,2000,16.0,74,europe,fiat_x1.9
151,19.0,6,225.0,95,3264,16.0,75,america,plymouth_valiant_custom
152,18.0,6,250.0,105,3459,16.0,75,america,chevrolet_nova
153,15.0,6,250.0,72,3432,21.0,75,america,mercury_monarch
154,15.0,6,250.0,72,3158,19.5,75,america,ford_maverick
155,16.0,8,400.0,170,4668,11.5,75,america,pontiac_catalina
156,15.0,8,350.0,145,4440,14.0,75,america,chevrolet_bel_air
157,16.0,8,318.0,150,4498,14.5,75,america,plymouth_grand_fury
158,14.0,8,351.0,148,4657,13.5,75,america,ford_ltd
159,17.0,6,231.0,110,3907,21.0,75,america,buick_century
160,16.0,6,250.0,105,3897,18.5,75,america,chevroelt_chevelle_malibu
161,15.0,6,258.0,110,3730,19.0,75,america,amc_matador
162,18.0,6,225.0,95,3785,19.0,75,america,plymouth_fury
163,21.0,6,231.0,110,3039,15.0,75,america,buick_skyhawk
164,20.0,8,262.0,110,3221,13.5,75,america,chevrolet_monza_2+2
165,13.0,8,302.0,129,3169,12.0,75,america,ford_mustang_ii
166,29.0,4,97.0,75,2171,16.0,75,asia or other,toyota_corolla
167,23.0,4,140.0,83,2639,17.0,75,america,ford_pinto
168,20.0,6,232.0,100,2914,16.0,75,america,amc_gremlin
169,23.0,4,140.0,78,2592,18.5,75,america,pontiac_astro
170,24.0,4,134.0,96,2702,13.5,75,asia or other,toyota_corona
171,25.0,4,90.0,71,2223,16.5,75,europe,volkswagen_dasher
172,24.0,4,119.0,97,2545,17.0,75,asia or other,datsun_710
173,18.0,6,171.0,97,2984,14.5,75,america,ford_pinto
174,29.0,4,90.0,70,1937,14.0,75,europe,volkswagen_rabbit
175,19.0,6,232.0,90,3211,17.0,75,america,amc_pacer
176,23.0,4,115.0,95,2694,15.0,75,europe,audi_100ls
177,23.0,4,120.0,88,2957,17.0,75,europe,peugeot_504
178,22.0,4,121.0,98,2945,14.5,75,europe,volvo_244dl
179,25.0,4,121.0,115,2671,13.5,75,europe,saab_99le
180,33.0,4,91.0,53,1795,17.5,75,asia or other,honda_civic_cvcc
181,28.0,4,107.0,86,2464,15.5,76,europe,fiat_131
182,25.0,4,116.0,81,2220,16.9,76,europe,opel_1900
183,25.0,4,140.0,92,2572,14.9,76,america,capri_ii
184,26.0,4,98.0,79,2255,17.7,76,america,dodge_colt
185,27.0,4,101.0,83,2202,15.3,76,europe,renault_12tl
186,17.5,8,305.0,140,4215,13.0,76,america,chevrolet_chevelle_malibu_classic
187,16.0,8,318.0,150,4190,13.0,76,america,dodge_coronet_brougham
188,15.5,8,304.0,120,3962,13.9,76,america,amc_matador
189,14.5,8,351.0,152,4215,12.8,76,america,ford_gran_torino
190,22.0,6,225.0,100,3233,15.4,76,america,plymouth_valiant
191,22.0,6,250.0,105,3353,14.5,76,america,chevrolet_nova
192,24.0,6,200.0,81,3012,17.6,76,america,ford_maverick
193,22.5,6,232.0,90,3085,17.6,76,america,amc_hornet
194,29.0,4,85.0,52,2035,22.2,76,america,chevrolet_chevette
195,24.5,4,98.0,60,2164,22.1,76,america,chevrolet_woody
196,29.0,4,90.0,70,1937,14.2,76,europe,vw_rabbit
197,33.0,4,91.0,53,1795,17.4,76,asia or other,honda_civic
198,20.0,6,225.0,100,3651,17.7,76,america,dodge_aspen_se
199,18.0,6,250.0,78,3574,21.0,76,america,ford_granada_ghia
200,18.5,6,250.0,110,3645,16.2,76,america,pontiac_ventura_sj
201,17.5,6,258.0,95,3193,17.8,76,america,amc_pacer_d/l
202,29.5,4,97.0,71,1825,12.2,76,europe,volkswagen_rabbit
203,32.0,4,85.0,70,1990,17.0,76,asia or other,datsun_b-210
204,28.0,4,97.0,75,2155,16.4,76,asia or other,toyota_corolla
205,26.5,4,140.0,72,2565,13.6,76,america,ford_pinto
206,20.0,4,130.0,102,3150,15.7,76,europe,volvo_245
207,13.0,8,318.0,150,3940,13.2,76,america,plymouth_volare_premier_v8
208,19.0,4,120.0,88,3270,21.9,76,europe,peugeot_504
209,19.0,6,156.0,108,2930,15.5,76,asia or other,toyota_mark_ii
210,16.5,6,168.0,120,3820,16.7,76,europe,mercedes-benz_280s
211,16.5,8,350.0,180,4380,12.1,76,america,cadillac_seville
212,13.0,8,350.0,145,4055,12.0,76,america,chevy_c10
213,13.0,8,302.0,130,3870,15.0,76,america,ford_f108
214,13.0,8,318.0,150,3755,14.0,76,america,dodge_d100
215,31.5,4,98.0,68,2045,18.5,77,asia or other,honda_accord_cvcc
216,30.0,4,111.0,80,2155,14.8,77,america,buick_opel_isuzu_deluxe
