년도,구분,죄종,발생검거,건수
2017,중부,살인,발생,0
2017,중부,살인,검거,0
2017,중부,강도,발생,6
2017,중부,강도,검거,6
2017,중부,강간,발생,173
2017,중부,강간,검거,87
2017,중부,절도,발생,1061
2017,중부,절도,검거,489
2017,중부,폭력,발생,1198
2017,중부,폭력,검거,1024
2017,종로,살인,발생,5
2017,종로,살인,검거,3
2017,종로,강도,발생,5
2017,종로,강도,검거,4
2017,종로,강간,발생,131
2017,종로,강간,검거,103
2017,종로,절도,발생,910
2017,종로,절도,검거,360
2017,종로,폭력,발생,1220
2017,종로,폭력,검거,1059
2017,남대문,살인,발생,1
2017,남대문,살인,검거,0
2017,남대문,강도,발생,3
2017,남대문,강도,검거,3
2017,남대문,강간,발생,94
2017,남대문,강간,검거,62
2017,남대문,절도,발생,785
2017,남대문,절도,검거,400
2017,남대문,폭력,발생,863
2017,남대문,폭력,검거,780
2017,서대문,살인,발생,4
2017,서대문,살인,검거,4
2017,서대문,강도,발생,1
2017,서대문,강도,검거,2
2017,서대문,강간,발생,202
2017,서대문,강간,검거,181
2017,서대문,절도,발생,1230
2017,서대문,절도,검거,719
2017,서대문,폭력,발생,1676
2017,서대문,폭력,검거,1393
2017,혜화,살인,발생,2
2017,혜화,살인,검거,2
2017,혜화,강도,발생,5
2017,혜화,강도,검거,4
2017,혜화,강간,발생,122
2017,혜화,강간,검거,70
2017,혜화,절도,발생,734
2017,혜화,절도,검거,298
2017,혜화,폭력,발생,923
2017,혜화,폭력,검거,778
2017,용산,살인,발생,1
2017,용산,살인,검거,1
2017,용산,강도,발생,5
2017,용산,강도,검거,4
2017,용산,강간,발생,327
2017,용산,강간,검거,289
2017,용산,절도,발생,1346
2017,용산,절도,검거,626
2017,용산,폭력,발생,2381
2017,용산,폭력,검거,2016
2017,성북,살인,발생,5
2017,성북,살인,검거,5
2017,성북,강도,발생,5
2017,성북,강도,검거,5
2017,성북,강간,발생,107
2017,성북,강간,검거,72
2017,성북,절도,발생,701
2017,성북,절도,검거,332
2017,성북,폭력,발생,1005
2017,성북,폭력,검거,855
2017,동대문,살인,발생,11
2017,동대문,살인,검거,10
2017,동대문,강도,발생,3
2017,동대문,강도,검거,5
2017,동대문,강간,발생,165
2017,동대문,강간,검거,149
2017,동대문,절도,발생,1547
2017,동대문,절도,검거,1017
2017,동대문,폭력,발생,2249
2017,동대문,폭력,검거,2093
2017,마포,살인,발생,3
2017,마포,살인,검거,3
2017,마포,강도,발생,8
2017,마포,강도,검거,8
2017,마포,강간,발생,500
2017,마포,강간,검거,429
2017,마포,절도,발생,2094
2017,마포,절도,검거,837
2017,마포,폭력,발생,2673
2017,마포,폭력,검거,2222
2017,영등포,살인,발생,15
2017,영등포,살인,검거,13
2017,영등포,강도,발생,5
2017,영등포,강도,검거,5
2017,영등포,강간,발생,455
2017,영등포,강간,검거,267
2017,영등포,절도,발생,2304
2017,영등포,절도,검거,1108
2017,영등포,폭력,발생,3190
2017,영등포,폭력,검거,2619
2017,성동,살인,발생,1
2017,성동,살인,검거,1
2017,성동,강도,발생,3
2017,성동,강도,검거,3
2017,성동,강간,발생,132
2017,성동,강간,검거,106
2017,성동,절도,발생,1072
2017,성동,절도,검거,543
2017,성동,폭력,발생,1559
2017,성동,폭력,검거,1378
2017,동작,살인,발생,1
2017,동작,살인,검거,1
2017,동작,강도,발생,7
2017,동작,강도,검거,9
2017,동작,강간,발생,396
2017,동작,강간,검거,173
2017,동작,절도,발생,1226
2017,동작,절도,검거,593
2017,동작,폭력,발생,1700
2017,동작,폭력,검거,1466
2017,광진,살인,발생,6
2017,광진,살인,검거,5
2017,광진,강도,발생,13
2017,광진,강도,검거,8
2017,광진,강간,발생,261
2017,광진,강간,검거,208
2017,광진,절도,발생,2220
2017,광진,절도,검거,1168
2017,광진,폭력,발생,2146
2017,광진,폭력,검거,1900
2017,서부,살인,발생,3
