연령층,월,사고건수,사망자수,부상자수,중상,경상,부상신고
12세이하,01월,1,0,1,1,0,0
12세이하,02월,5,0,5,1,2,2
12세이하,03월,13,0,14,3,7,4
12세이하,04월,32,0,40,8,15,17
12세이하,05월,48,0,50,15,20,15
12세이하,06월,50,1,58,16,24,18
12세이하,07월,41,0,45,10,27,8
12세이하,08월,35,0,36,7,16,13
12세이하,09월,34,0,35,8,18,9
12세이하,10월,34,0,47,10,28,9
12세이하,11월,28,0,29,9,14,6
12세이하,12월,12,0,12,6,4,2
13-20세,01월,431,14,645,180,409,56
13-20세,02월,403,9,622,196,366,60
13-20세,03월,579,13,865,245,507,113
13-20세,04월,658,12,965,305,548,112
13-20세,05월,783,13,1160,358,677,125
13-20세,06월,788,19,1108,336,642,130
13-20세,07월,709,13,1031,338,581,112
13-20세,08월,795,16,1153,327,690,136
13-20세,09월,662,12,959,272,567,120
13-20세,10월,729,20,1008,322,570,116
13-20세,11월,649,12,956,283,574,99
13-20세,12월,501,8,694,199,404,91
21-30세,01월,2209,51,3612,1032,2388,192
21-30세,02월,2011,44,3375,935,2272,168
21-30세,03월,2366,53,3713,1109,2405,199
21-30세,04월,2443,61,3967,1164,2613,190
21-30세,05월,2760,56,4283,1283,2738,262
21-30세,06월,2510,56,3995,1127,2623,245
21-30세,07월,2642,70,4288,1172,2903,213
21-30세,08월,2591,51,4304,1104,2931,269
21-30세,09월,2398,63,3730,1034,2458,238
21-30세,10월,2561,64,4038,1151,2634,253
21-30세,11월,2442,59,3828,1092,2527,209
21-30세,12월,2288,68,3652,1032,2422,198
31-40세,01월,3018,70,4770,1338,3251,181
31-40세,02월,2623,60,4135,1198,2754,183
31-40세,03월,3269,80,4978,1484,3281,213
31-40세,04월,3354,67,5257,1489,3468,300
31-40세,05월,3600,75,5545,1642,3640,263
31-40세,06월,3195,75,4806,1448,3114,244
31-40세,07월,3252,78,5000,1474,3273,253
31-40세,08월,3307,65,5292,1498,3519,275
31-40세,09월,3142,73,4736,1299,3194,243
31-40세,10월,3350,74,4984,1523,3187,274
31-40세,11월,3465,80,5218,1497,3420,301
31-40세,12월,3143,80,4905,1371,3317,217
41-50세,01월,4075,92,6441,1762,4402,277
41-50세,02월,3553,93,5650,1576,3878,196
41-50세,03월,4407,96,6850,1986,4549,315
41-50세,04월,4443,72,6844,1992,4528,324
41-50세,05월,4706,84,7310,2169,4821,320
41-50세,06월,4393,97,6687,1955,4375,357
41-50세,07월,4313,98,6829,1880,4621,328
41-50세,08월,4365,95,6784,1925,4576,283
41-50세,09월,4216,92,6596,1886,4411,299
41-50세,10월,4681,105,6976,2107,4551,318
41-50세,11월,4642,117,6972,2018,4636,318
41-50세,12월,4347,106,6798,1951,4488,359
51-60세,01월,3900,85,6236,1837,4114,285
51-60세,02월,3371,86,5204,1451,3568,185
51-60세,03월,4104,88,6233,1831,4146,256
51-60세,04월,4261,97,6678,1966,4372,340
51-60세,05월,4516,104,6727,2040,4394,293
51-60세,06월,4306,96,6674,1817,4518,339
51-60세,07월,4441,104,6885,1969,4626,290
51-60세,08월,4442,79,7084,2014,4687,383
51-60세,09월,4224,91,6462,1871,4280,311
51-60세,10월,4825,111,7441,2201,4837,403
51-60세,11월,4728,107,7113,2096,4699,318
51-60세,12월,4297,121,6535,1822,4417,296
61-64세,01월,819,31,1211,341,818,52
61-64세,02월,731,15,1116,335,753,28
61-64세,03월,910,26,1353,429,854,70
61-64세,04월,918,19,1403,395,923,85
61-64세,05월,1029,18,1537,461,1010,66
61-64세,06월,986,21,1484,426,991,67
61-64세,07월,986,18,1506,457,968,81
61-64세,08월,1043,29,1587,520,1000,67
61-64세,09월,971,22,1472,449,940,83
61-64세,10월,1108,33,1652,513,1070,69
61-64세,11월,1140,34,1719,538,1100,81
61-64세,12월,947,21,1417,428,917,72
65세이상,01월,1037,46,1548,477,1003,68
65세이상,02월,1066,26,1654,480,1085,89
65세이상,03월,1290,52,1863,600,1190,73
65세이상,04월,1377,49,2039,613,1338,88
65세이상,05월,1601,69,2343,745,1434,164
65세이상,06월,1545,70,2251,745,1382,124
65세이상,07월,1556,62,2250,715,1385,150
65세이상,08월,1573,76,2323,777,1441,105
65세이상,09월,1621,77,2339,792,1411,136
65세이상,10월,1885,89,2637,939,1548,150
65세이상,11월,1677,69,2463,839,1502,122
65세이상,12월,1362,52,2024,651,1261,112
불명,01월,526,0,630,143,416,71
불명,02월,424,2,494,94,332,68
불명,03월,527,1,592,123,403,66
불명,04월,545,3,602,131,381,90
불명,05월,643,1,721,148,464,109
불명,06월,556,1,610,137,398,75
불명,07월,501,1,553,129,351,73
불명,08월,540,1,627,138,400,89
불명,09월,538,0,609,130,387,92
불명,10월,624,3,724,149,480,95
불명,11월,625,1,688,136,454,98
불명,12월,612,3,712,165,461,86
