구분,평균속도,고속도로명
1월,63.9,내부순환로 
2월,67.5,내부순환로 
3월,67,내부순환로 
4월,68.6,내부순환로 
5월,68,내부순환로 
6월,73.5,내부순환로 
7월,68.8,내부순환로 
8월,63.9,내부순환로 
9월,61.3,내부순환로 
10월,64.2,내부순환로 
11월,58.6,내부순환로 
12월,64.1,내부순환로 
1월,66.9,강변북로
2월,67.1,강변북로
3월,66.9,강변북로
4월,60.8,강변북로
5월,64.8,강변북로
6월,66.3,강변북로
7월,66.2,강변북로
8월,62.8,강변북로
9월,60.2,강변북로
10월,63.7,강변북로
11월,56,강변북로
12월,65.3,강변북로
1월,64.6,북부간선도로
2월,63,북부간선도로
3월,63.3,북부간선도로
4월,59,북부간선도로
5월,56.2,북부간선도로
6월,58.5,북부간선도로
7월,65,북부간선도로
8월,62.5,북부간선도로
9월,63.2,북부간선도로
10월,62.7,북부간선도로
11월,62.8,북부간선도로
12월,62.7,북부간선도로
1월,70.1,올림픽대로
2월,69.7,올림픽대로
3월,69.8,올림픽대로
4월,65.3,올림픽대로
5월,66.2,올림픽대로
6월,67.5,올림픽대로
7월,68.2,올림픽대로
8월,64.3,올림픽대로
9월,62.9,올림픽대로
10월,66.9,올림픽대로
11월,62.1,올림픽대로
12월,67.9,올림픽대로
1월,58.9,동부간선도로
2월,61.5,동부간선도로
3월,58.2,동부간선도로
4월,56,동부간선도로
5월,54.4,동부간선도로
6월,58.7,동부간선도로
7월,63.4,동부간선도로
8월,62,동부간선도로
9월,60.4,동부간선도로
10월,58.4,동부간선도로
11월,59.2,동부간선도로
12월,63.5,동부간선도로
1월,71.3,분당수서로
2월,74.6,분당수서로
3월,75.1,분당수서로
4월,71.7,분당수서로
5월,71,분당수서로
6월,73.6,분당수서로
7월,72.3,분당수서로
8월,70.6,분당수서로
9월,66.8,분당수서로
10월,71.6,분당수서로
11월,63.9,분당수서로
12월,70.8,분당수서로
1월,57.4,경부고속도로
2월,55.3,경부고속도로
3월,55.4,경부고속도로
4월,49.2,경부고속도로
5월,54,경부고속도로
6월,54.3,경부고속도로
7월,55.8,경부고속도로
8월,50.9,경부고속도로
9월,48.1,경부고속도로
10월,53.1,경부고속도로
11월,46.1,경부고속도로
12월,54.4,경부고속도로
1월,46,서부간선도로
2월,46.1,서부간선도로
3월,46.1,서부간선도로
4월,41.9,서부간선도로
5월,42,서부간선도로
6월,45.5,서부간선도로
7월,46.4,서부간선도로
8월,45.3,서부간선도로
9월,41.6,서부간선도로
10월,36.9,서부간선도로
11월,36.7,서부간선도로
12월,42.5,서부간선도로
1월,93,강남순환로
2월,94.7,강남순환로
3월,92.4,강남순환로
4월,90.9,강남순환로
5월,90.2,강남순환로
6월,92.9,강남순환로
7월,93.1,강남순환로
8월,92.1,강남순환로
9월,92.3,강남순환로
10월,93.3,강남순환로
11월,93.7,강남순환로
12월,93.5,강남순환로
