발생일시,관할해경서,발생해역,위도,경도,기상상태,발생원인,발생유형,사고선박수,발생인원,구조,부상,사망,실종,선 종,톤수
2019-12-31 22:04,포항,영해,0 | 0 | 0,0 | 0 | 0,양호,관리소홀,기타,1,0,0,0,0,0,모터보트,1.07
2019-12-31 15:13,포항,영해,35 | 52 | 3,129 | 45 | 55,양호,운항부주의,충돌,1,12,12,0,0,0,어선,29
2019-12-31 15:13,포항,영해,35 | 52 | 3,129 | 45 | 55,양호,운항부주의,충돌,1,15,15,0,0,0,화물선,1415
2019-12-31 09:33,통영,협수로,34 | 41 | 6,128 | 3 | 59,양호,운항부주의,부유물감김,1,3,3,0,0,0,어선,4.96
2019-12-31 08:38,군산,항계 내,35 | 59 | 18,126 | 41 | 43,양호,관리소홀,침수,1,0,0,0,0,0,어선,8.55
2019-12-31 03:25,여수,영해,34 | 34 | 56,127 | 52 | 42,양호,관리소홀,부유물감김,1,3,3,0,0,0,어선,83
2019-12-30 10:07,서귀포,항계 내,33 | 16 | 40,126 | 43 | 8,양호,관리소홀,침몰,1,0,0,0,0,0,모터보트,2.62
2019-12-30 09:57,인천,항계 내,37 | 29 | 35,126 | 36 | 55,양호,관리소홀,해양오염,1,0,0,0,0,0,기타,33
2019-12-29 19:14,보령,영해,36 | 11 | 28,126 | 14 | 58,풍랑주의보,정비불량,화재,1,2,2,1,0,0,어선,7.93
2019-12-29 18:08,통영,영해-EEZ,34 | 3 | 18,128 | 28 | 53,양호,안전부주의,작업 중 인명사상,1,1,1,1,0,0,어선,59
2019-12-29 15:50,포항,영해,35 | 55 | 0,129 | 31 | 60,양호,정비불량,기관손상,1,1,1,0,0,0,모터보트,1.18
2019-12-29 14:04,동해,영해,37 | 15 | 0,131 | 43 | 0,양호,정비불량,추진기손상,1,8,8,0,0,0,어선,24
2019-12-29 01:43,여수,영해,34 | 56 | 33,127 | 49 | 12,양호,정비불량,기관손상,1,4,4,0,0,0,낚시어선,3
2019-12-28 18:03,부산,항계 내,35 | 3 | 11,129 | 0 | 15,양호,운항부주의,충돌,1,3,3,0,0,0,유조선,148
2019-12-28 18:03,부산,항계 내,35 | 3 | 11,129 | 0 | 15,양호,운항부주의,충돌,1,1,1,0,0,0,예부선,1147
2019-12-28 17:55,통영,협수로,34 | 53 | 50,127 | 57 | 27,양호,운항부주의,부유물감김,1,5,5,0,0,0,어선,2.4
2019-12-28 16:54,통영,영해,34 | 34 | 0,128 | 31 | 23,양호,정비불량,화재,1,4,4,0,0,0,낚시어선,9.16
2019-12-28 14:10,군산,영해-EEZ,35 | 26 | 6,124 | 26 | 8,양호,화기취급부주의,화재,1,9,9,0,0,0,어선,493
2019-12-28 12:20,울진,영해,37 | 6 | 20,129 | 23 | 54,양호,운항부주의,부유물감김,1,2,2,0,0,0,모터보트,4.5
2019-12-28 11:56,목포,영해,34 | 40 | 56,125 | 27 | 4,양호,운항부주의,부유물감김,1,2,2,0,0,0,어선,12
2019-12-28 11:09,여수,항계 내,34 | 29 | 8,127 | 24 | 1,양호,운항부주의,좌초/좌주,1,3,3,0,0,0,어선,9.77
2019-12-28 08:10,속초,영해,38 | 18 | 15,128 | 33 | 56,양호,운항부주의,부유물감김,1,7,7,0,0,0,낚시어선,9.16
2019-12-28 07:19,속초,영해,38 | 13 | 21,128 | 36 | 16,양호,운항부주의,부유물감김,1,1,1,0,0,0,어선,4.11
2019-12-27 08:42,여수,항계 내,34 | 1 | 32,127 | 18 | 23,양호,관리소홀,침수,1,0,0,0,0,0,어선,3.95
2019-12-27 06:50,완도,항계 내,34 | 18 | 54,126 | 45 | 41,양호,관리소홀,침수,1,0,0,0,0,0,어선,9.77
2019-12-26 12:49,제주,영해,33 | 34 | 60,126 | 28 | 60,황천5급,정비불량,기관손상,1,1,1,0,0,0,어선,3.86
2019-12-26 11:37,포항,영해,36 | 4 | 60,129 | 34 | 0,풍랑주의보,정비불량,기관손상,1,3,3,0,0,0,어선,4.98
2019-12-26 08:02,통영,협수로,34 | 52 | 1,128 | 27 | 55,양호,운항부주의,좌초/좌주,1,3,3,0,0,0,어선,4.96
2019-12-26 06:13,여수,영해,34 | 18 | 50,127 | 37 | 25,양호,관리소홀,침수,1,2,2,0,0,0,어선,9.77
2019-12-25 18:58,여수,항계 내,34 | 8 | 21,127 | 12 | 17,양호,운항부주의,부유물감김,1,11,11,0,0,0,어선,78
2019-12-25 17:24,동해,영해,37 | 22 | 22,129 | 16 | 54,양호,정비불량,기관손상,1,2,2,0,0,0,모터보트,5
2019-12-25 15:51,포항,영해,36 | 15 | 0,129 | 36 | 0,양호,정비불량,기관손상,1,5,5,0,0,0,어선,6.4
2019-12-25 13:51,여수,항계 내,34 | 9 | 56,127 | 48 | 46,양호,운항부주의,부유물감김,1,12,12,0,0,0,어선,55
2019-12-25 11:50,제주,영해,33 | 47 | 49,126 | 36 | 41,양호,정비불량,기관손상,1,2,2,0,0,0,어선,3
2019-04-17 22:24,인천,영해,37 | 28 | 0,125 | 54 | 0,양호,운항부주의,부유물감김,1,4,4,0,0,0,어선,9.77
2019-12-25 11:38,서귀포,영해-EEZ,33 | 0 | 0,126 | 43 | 59,양호,정비불량,기관손상,1,11,11,0,0,0,어선,80
2019-12-25 10:33,통영,협수로,34 | 47 | 17,128 | 44 | 2,양호,운항부주의,부유물감김,1,12,12,0,0,0,여객선,5.72
2019-12-24 12:54,목포,영해,34 | 38 | 6,126 | 15 | 44,양호,운항부주의,부유물감김,1,2,2,0,0,0,어선,3.57
2019-12-24 09:30,포항,영해,36 | 6 | 0,129 | 28 | 60,양호,정비불량,기관손상,1,3,3,0,0,0,어선,3.3
2019-12-24 09:40,서귀포,영해,33 | 10 | 59,126 | 54 | 0,양호,안전부주의,작업 중 인명사상,1,1,1,1,0,0,어선,5.42
2019-12-24 07:00,서귀포,영해-EEZ,32 | 57 | 12,126 | 18 | 41,양호,정비불량,키손상,1,3,3,0,0,0,어선,9.77
2019-12-24 09:16,동해,영해,37 | 30 | 7,129 | 18 | 25,양호,정비불량,침수,1,2,2,0,0,0,어선,7.31
2019-12-23 20:51,동해,영해,37 | 5 | 33,132 | 2 | 23,양호,운항부주의,부유물감김,1,7,7,0,0,0,어선,29
2019-12-23 14:44,목포,항계 내,34 | 46 | 53,126 | 23 | 16,양호,관리소홀,침수,1,0,0,0,0,0,어선,6.38
2019-12-23 00:55,평택,영해,37 | 1 | 17,126 | 3 | 42,양호,정비불량,기관손상,1,10,10,0,0,0,화물선,1291
2019-12-22 19:15,동해,영해,37 | 31 | 60,129 | 49 | 60,양호,정비불량,키손상,1,8,8,0,0,0,어선,51
2019-12-23 22:36,제주,영해-EEZ,33 | 40 | 0,127 | 43 | 0,양호,정비불량,기관손상,1,6,6,0,0,0,어선,22
2019-12-22 16:59,목포,항계 내,34 | 39 | 45,125 | 23 | 29,양호,운항부주의,부유물감김,1,2,2,0,0,0,어선,23
2019-12-22 13:29,제주,영해,33 | 10 | 60,126 | 1 | 0,양호,안전부주의,작업 중 인명사상,1,1,1,1,0,0,어선,70
2019-12-22 09:50,동해,영해,37 | 22 | 54,129 | 23 | 30,양호,정비불량,기관손상,1,2,2,0,0,0,어선,9.77
2019-12-22 08:38,여수,항계 내,34 | 30 | 47,127 | 5 | 25,양호,정비불량,기관손상,1,2,2,0,0,0,어선,1.33
2019-12-22 07:40,동해,영해,38 | 7 | 0,129 | 31 | 50,양호,정비불량,기관손상,1,29,29,0,0,0,어선,29
2019-12-22 09:52,여수,항계 내,34 | 30 | 11,127 | 5 | 18,양호,정비불량,기관손상,1,4,4,0,0,0,모터보트,0.8
