발생일시,관할해경서,발생해역,발생유형,발생원인,기상특보,사고선박수,구조인원,부상인원,사망인원,실종인원,위도,경도,선종1,톤수1,선종2,톤수2,선종3,톤수3
2010-12-30 17:15,포항,영해-EEZ,기관고장,정비불량,풍랑주의보,1,13,0,0,0,36|30|00,130|05|00,어선,67,,,,
2010-12-30 06:34,포항,영해-EEZ,충돌,운항부주의,풍랑주의보,2,13,0,0,0,36|14|50,129|39|00,어선,9.77,어선,15,,
2010-12-29 14:57,군산,영해,충돌,운항부주의,황천4급,2,14,0,0,0,36|03|00,126|09|00,어선,23,기타,69,,
2010-12-29 01:50,여수,항계내,화재,기타,양호,3,0,0,0,0,34|43|70,127|44|50,어선,6.6,어선,9.77,어선,7.93
2010-12-28 15:49,부산,항계내,전복,기상악화,풍랑주의보,1,1,0,0,0,35|01|69,129|00|67,어선,1.06,,,,
2010-12-28 14:00,포항,영해-EEZ,추진기장애,기타,풍랑주의보,1,10,0,0,0,36|22|00,130|23|00,어선,92.28,,,,
2010-12-27 15:26,목포,협수로,기관고장,정비불량,양호,1,3,0,0,0,34|07|10,126|05|58,어선,1.88,,,,
2010-12-27 09:32,동해,영해,침수,기상악화,양호,1,1,0,0,0,37|13|50,129|22|20,어선,1,,,,
2010-12-26 17:45,제주,항계내,기타,기상악화,풍랑주의보,1,976,0,0,0,33|31|80,126|32|30,여객선,9645,,,,
2010-12-26 09:15,목포,영해,전복,적재불량,풍랑주의보,1,15,0,0,0,34|04|00,125|31|00,화물선,495,,,,
2010-12-25 16:20,통영,영해,기관고장,기타,양호,1,1,0,0,0,34|43|71,128|26|40,어선,4.98,,,,
2010-12-25 10:37,통영,항계내,침수,관리소홀,양호,1,0,0,0,0,34|49|96,128|29|75,어선,28,,,,
2010-12-24 21:22,울산,영해,추진기장애,운항부주의,풍랑주의보,1,1,0,0,0,35|18|25,129|17|20,예부선,29,,,,
2010-12-24 16:20,제주,영해,추진기장애,운항부주의,풍랑주의보,1,10,0,0,0,33|35|00,126|50|00,어선,29,,,,
2010-12-24 12:10,목포,협수로,기관고장,정비불량,풍랑주의보,1,10,0,0,0,34|15|00,125|56|00,어선,77,,,,
2010-12-23 11:58,군산,영해,표류,연료고갈,풍랑주의보,1,1,0,0,0,35|30|60,126|12|70,어선,4.99,,,,
2010-12-23 06:28,포항,영해,충돌,운항부주의,황천5급,2,18,0,1,0,35|52|00,129|42|00,어선,4.97,어선,32,,
2010-12-22 20:30,태안,항계내,화재,화기취급부주의,양호,2,0,0,0,0,36|43|34,126|08|34,어선,3,어선,3.3,,
2010-12-22 17:45,포항,영해,충돌,운항부주의,황천5급,2,17,0,0,0,35|57|00,129|44|00,어선,12,화물선,7170,,
2010-12-22 14:50,군산,항계내,침수,기타,양호,1,2,0,0,0,35|59|35,126|43|69,어선,1.46,,,,
2010-12-22 13:00,서귀포,공해,기관고장,정비불량,풍랑주의보,1,8,0,0,0,28|00|00,124|25|00,어선,29,,,,
2010-12-22 12:20,인천,영해-EEZ,기관고장,정비불량,양호,1,4,0,0,0,37|19|00,125|48|00,어선,9.77,,,,
2010-12-22 10:00,여수,협수로,기관고장,정비불량,양호,1,1,0,0,0,34|26|00,127|06|00,어선,2.99,,,,
2010-12-22 08:20,부산,항계내,침수,기타,양호,1,0,0,0,0,35|06|15,129|04|39,기타,23,,,,
2010-12-22 03:38,태안,항계내,충돌,운항부주의,양호,2,29,0,0,0,36|17|00,126|27|00,어선,23,화물선,36303,,
2010-12-22 03:20,통영,영해,화재,기타,양호,1,3,0,0,0,34|50|54,128|25|54,어선,71,,,,
2010-12-22 03:20,포항,영해,침수,운항부주의,풍랑주의보,1,4,0,0,0,36|40|18,129|27|24,어선,29,,,,
2010-12-22 00:56,군산,항계내,화재,기타,양호,1,0,0,0,0,35|37|22,126|28|09,어선,4.98,,,,
2010-12-21 20:00,서귀포,영해-EEZ,기관고장,정비불량,양호,1,3,0,0,0,32|59|00,127|00|00,어선,9.77,,,,
2010-12-21 16:00,포항,영해-EEZ,기관고장,정비불량,황천4급,1,12,0,0,0,36|52|00,132|28|00,어선,74,,,,
2010-12-21 13:35,포항,영해,침수,정비불량,황천5급,1,1,0,0,0,38|02|30,129|06|20,어선,1.94,,,,
2010-12-21 07:30,통영,항계내,충돌,운항부주의,양호,2,0,0,0,0,35|11|29,128|33|93,기타,13058,기타,23930,,
2010-12-21 06:00,서귀포,영해-EEZ,추진기장애,정비불량,양호,1,4,0,0,0,32|45|00,126|32|00,어선,4.89,,,,
2010-12-20 20:53,여수,협수로,충돌,운항부주의,양호,2,3,0,0,0,34|36|82,127|43|27,어선,1.88,어선,0.98,,
2010-12-20 17:48,인천,항계내,좌주,운항부주의,양호,1,4,0,0,0,37|27|24,126|35|83,어선,56,,,,
2010-12-20 13:00,제주,영해-EEZ,추진기장애,운항부주의,양호,1,8,0,0,0,32|58|00,126|00|00,어선,19,,,,
2010-12-20 03:00,여수,항계내,화재,기타,양호,1,0,0,0,0,34|01|60,127|18|50,어선,4.99,,,,
2010-12-19 18:30,울산,영해-EEZ,추진기장애,정비불량,황천5급,1,7,0,0,0,35|38|00,130|00|00,어선,49,,,,
2010-12-19 15:34,통영,영해,기관고장,기타,양호,1,3,0,0,0,34|55|30,128|21|40,어선,2.01,,,,
2010-12-19 13:14,부산,영해,기관고장,정비불량,양호,1,5,0,0,0,35|05|10,129|08|60,기타,1,,,,
2010-12-19 06:00,군산,영해,충돌,운항부주의,양호,2,15,0,0,0,35|57|90,125|43|59,어선,13,유조선,6153,,
2010-12-18 16:24,통영,영해,기관고장,기타,양호,1,2,0,0,0,34|41|35,128|25|55,어선,4.44,,,,
2010-12-18 12:52,군산,EEZ 30마일 이내,충돌,기타,양호,1,8,0,1,1,36|08|60,124|28|92,어선,62,,,,
2010-12-18 11:30,태안,영해,추진기장애,정비불량,양호,1,6,0,0,0,36|18|00,125|38|00,어선,8.5,,,,
2010-12-18 08:00,태안,영해,좌초,운항부주의,양호,1,0,0,0,0,36|41|01,126|05|06,기타,200,,,,
2010-12-18 07:49,통영,영해,기관고장,기타,양호,1,2,0,0,0,34|38|15,128|22|62,어선,4.36,,,,
2010-12-17 13:35,통영,영해,충돌,운항부주의,양호,2,2,0,0,0,34|53|27,128|26|36,기타,2.88,어선,1.9,,
2010-12-17 09:35,인천,항계내,침수,관리소홀,양호,1,0,0,0,0,37|28|9,126|35|9,어선,4.49,,,,
2010-12-17 07:00,제주,영해-EEZ,기관고장,정비불량,양호,1,9,0,0,0,33|44|00,126|44|00,어선,39,,,,
2010-12-17 04:15,목포,항계내,침수,기타,양호,1,3,0,0,0,35|02|64,126|12|02,어선,9.77,,,,
2010-12-16 10:30,울산,영해-EEZ,충돌,운항부주의,양호,2,5,0,0,0,35|18|80,129|56|90,어선,69,어선,0,,
2010-12-16 09:00,동해,영해,기관고장,정비불량,양호,1,10,0,0,0,37|31|00,129|57|00,어선,106,,,,
2010-12-15 17:40,부산,항계내,화재,기타,황천5급,1,6,0,0,0,35|03|65,129|00|33,기타,416,,,,
2010-12-15 15:05,통영,항계내,충돌,기타,양호,1,0,0,0,0,35|08|14,128|40|64,기타,1311,,,,
2010-12-15 14:40,통영,영해,기관고장,정비불량,양호,1,1,0,0,0,34|50|29,128|26|20,어선,5,,,,
2010-12-14 15:58,부산,항계내,침수,기타,풍랑주의보,1,1,0,0,0,35|06|00,129|03|70,기타,11,,,,
2010-12-14 14:20,울산,영해-EEZ,추진기장애,운항부주의,황천4급,1,26,0,0,0,35|33|00,131|59|00,어선,97,,,,
2010-12-14 10:30,통영,영해,기관고장,정비불량,양호,1,2,0,0,0,34|55|42,128|03|45,어선,2.99,,,,
2010-12-13 16:50,포항,영해-EEZ,추진기장애,기타,황천5급,1,7,0,0,0,35|47|00,130|18|00,어선,45,,,,
2010-12-13 08:00,목포,영해-EEZ,추진기장애,운항부주의,풍랑주의보,1,12,0,0,0,34|09|00,125|09|00,어선,54,,,,
2010-12-13 07:00,목포,영해,기관고장,정비불량,풍랑주의보,1,3,0,0,0,35|09|35,125|55|79,어선,46,,,,
2010-12-12 22:45,울산,EEZ 30마일 이내,추진기장애,운항부주의,황천5급,1,12,0,0,0,35|38|00,131|44|00,어선,67,,,,
2010-12-12 16:40,여수,협수로,타기고장,관리소홀,양호,1,18,0,0,0,34|21|15,127|38|84,낚시어선,9.77,,,,
2010-12-12 12:50,군산,영해,좌초,운항부주의,양호,1,2,0,0,0,36|10|10,126|29|12,어선,2.19,,,,
2010-12-12 11:20,태안,영해,화재,화기취급부주의,양호,1,12,0,0,0,36|19|00,129|32|00,화물선,1995,,,,
2010-12-12 11:18,군산,영해,침수,정비불량,양호,1,1,0,0,0,35|37|20,126|26|70,어선,1.07,,,,
2010-12-11 17:00,통영,영해,기관고장,정비불량,양호,1,1,0,0,0,35|06|04,128|29|66,기타,1.06,,,,
2010-12-11 15:00,울산,영해-EEZ,충돌,운항부주의,황천4급,2,13,0,0,0,35|17|80,129|36|00,어선,130.97,어선,69,,
2010-12-10 19:15,태안,영해,좌주,기상악화,풍랑주의보,1,1,0,0,0,36|31|00,126|31|00,예부선,5800,,,,
2010-12-10 16:00,여수,협수로,기관고장,연료고갈,양호,1,1,0,0,0,34|18|89,127|14|56,어선,24,,,,
2010-12-10 13:17,여수,협수로,기관고장,정비불량,양호,1,4,0,0,0,34|02|10,127|21|40,낚시어선,9.77,,,,
2010-12-10 10:30,통영,영해,기관고장,기타,양호,1,2,0,0,0,35|03|36,128|38|11,어선,1.07,,,,
2010-12-10 08:29,통영,영해,기관고장,기타,양호,1,2,0,0,0,34|45|42,128|20|93,어선,4.41,,,,
2010-12-10 06:30,인천,영해,기관고장,정비불량,황천3급,1,5,0,0,0,37|15|00,125|44|00,어선,19,,,,
2010-12-10 06:27,통영,영해,충돌,운항부주의,양호,2,3,0,0,0,35|08|92,128|36|11,유도선,12,어선,0.26,,
2010-12-09 15:14,통영,영해,추진기장애,기타,양호,1,2,0,0,0,34|52|00,128|14|09,어선,1.54,,,,
2010-12-08 19:20,부산,영해-EEZ,충돌,운항부주의,황천5급,2,32,0,0,0,35|05|00,129|35|00,어선,139,화물선,19808,,
2010-12-08 12:18,완도,영해,전복,기상악화,황천5급,1,0,0,0,1,34|13|35,126|41|18,기타,1.2,,,,
2010-12-06 20:50,부산,영해-EEZ,화재,기타,양호,1,4,0,0,0,34|46|00,129|03|00,어선,29,,,,
2010-12-06 16:30,여수,협수로,침수,운항부주의,양호,1,1,0,0,0,34|28|60,127|27|50,어선,0.7,,,,
2010-12-06 13:38,동해,영해,추진기장애,기타,양호,1,3,0,0,0,37|39|34,129|14|19,어선,7.93,,,,
2010-12-06 10:21,부산,항계내,화재,화기취급부주의,양호,1,5,0,0,0,351|05|16,129|01|98,어선,69,,,,
2010-12-06 10:10,태안,영해,좌초,기상악화,풍랑주의보,1,1,0,0,0,36|46|00,126|07|50,예부선,2000,,,,
2010-12-06 08:00,여수,항계내,기타,기타,양호,2,0,0,0,0,34|44|30,127|39|00,어선,0.95,모터보트,0.8,,
2010-12-06 06:49,속초,영해-EEZ,기관고장,정비불량,황천4급,1,4,0,0,0,37|48|00,129|22|00,어선,6.67,,,,
2010-12-06 06:00,제주,영해,기관고장,정비불량,양호,1,9,0,0,0,33|42|00,126|13|00,어선,38,,,,
2010-12-06 01:55,울산,영해-EEZ,충돌,운항부주의,풍랑주의보,2,30,0,0,0,35|00|50,130|06|00,어선,29,화물선,47367,,
2010-12-05 21:50,포항,영해,기관고장,정비불량,양호,1,1,0,0,0,36|02|70,129|24|00,어선,4.92,,,,
2010-12-05 15:00,서귀포,영해,충돌,운항부주의,양호,2,10,1,0,0,33|08|30,126|32|30,어선,29,어선,6.67,,
2010-12-05 11:00,인천,영해,기관고장,정비불량,양호,1,4,0,0,0,37|17|00,126|03|00,어선,7.93,,,,
2010-12-05 05:57,제주,영해,기타,운항부주의,양호,2,37,0,0,0,33|52|00,126|49|00,어선,9.77,화물선,15742,,
