"id","date","pm10","pm25","temp","humi","",""
"a0455","20190924","13","4","1216","","",""
"a0455","20190924","19","7","1209","60","",""
"a0455","20190924","19","7","1200","64","",""
"a0455","20190924","19","7","1195","65","",""
"a0455","20190924","19","7","","67","",""
"a0455","20190924","19","7","1186","69","",""
"a0455","20190924","19","7","1180","71","",""
"a0455","20190924","19","7","1186","69","",""
"a0455","20190924","18","6","1207","61","",""
"a0455","20190924","13","4","1227","","",""
"a0455","20190924","18","6","1255","45","",""
"a0455","20190924","17","6","1271","38","",""
"a0455","20190924","19","7","1294","30","",""
"a0455","20190924","19","7","","29","",""
"a0455","20190924","19","7","1307","25","",""
"a0455","20190924","15","5","1294","30","",""
"a0455","20190924","24","8","1282","33","",""
"a0455","20190924","19","7","1266","34","",""
"a0455","20190924","24","8","1254","38","",""
"a0455","20190924","15","5","1245","41","",""
"a0455","20190924","15","5","1232","54","",""
"a0455","20190924","17","6","1227","","",""
"a0455","20190924","19","7","","59","",""
"a0468","20190924","7","4","1200","","",""
"a0468","20190924","4","2","1181","67","",""
"a0468","20190924","5","3","1175","69","",""
"a0468","20190924","4","2","1176","70","",""
"a0468","20190924","11","7","1172","73","",""
"a0468","20190924","6","3","1179","69","",""
"a0468","20190924","6","3","1182","69","",""
"a0468","20190924","16","10","1189","67","",""
"a0468","20190924","7","4","1215","58","",""
"a0468","20190924","8","5","1243","49","",""
"a0468","20190924","16","10","1239","46","",""
"a0468","20190924","13","8","","40","",""
"a0468","20190924","5","3","1254","39","",""
"a0468","20190924","17","11","1262","34","",""
"a0468","20190924","5","3","1264","37","",""
"a0468","20190924","13","8","1265","38","",""
"a0468","20190924","10","6","1264","36","",""
"a0468","20190924","5","3","1253","37","",""
"a0468","20190924","7","4","1239","44","",""
"a0468","20190924","4","2","1225","61","",""
"a0468","20190924","14","9","1224","63","",""
"a0468","20190924","5","3","1220","61","",""
"a1108","20190924","26","17","","80","",""
"a1108","20190924","31","20","1117","80","",""
"a1108","20190924","17","11","1114","81","",""
"a1108","20190924","15","9","1111","82","",""
"a1108","20190924","22","14","","82","",""
"a1108","20190924","19","12","1109","82","",""
"a1108","20190924","17","11","1108","83","",""
"a1108","20190924","31","20","1110","83","",""
"a1108","20190924","31","20","1135","82","",""
"a1108","20190924","15","9","1203","59","",""
"a1108","20190924","15","9","1203","59","",""
"a1108","20190924","13","8","1221","48","",""
"a1108","20190924","10","6","1239","45","",""
"a1108","20190924","28","18","1255","37","",""
"a1108","20190924","17","11","1279","34","",""
"a1108","20190924","31","20","1269","35","",""
"a1108","20190924","5","3","1242","43","",""
"a1108","20190924","6","3","1226","46","",""
"a1108","20190924","5","3","1195","58","",""
"a1108","20190924","16","10","1168","67","",""
"a1108","20190924","6","3","1152","71","",""
"a1108","20190924","6","3","1144","75","",""
"a1108","20190924","17","11","1138","78","",""
"a1108","20190924","15","9","","80","",""
"a1109","20190924","25","12","1237","53","",""
"a1109","20190924","25","12","1230","","",""
"a1109","20190924","25","12","1224","57","",""
"a1109","20190924","25","12","1217","59","",""
"a1109","20190924","30","15","1215","61","",""
"a1109","20190924","25","12","","62","",""
"a1109","20190924","25","12","1209","63","",""
"a1109","20190924","40","20","","63","",""
"a1109","20190924","25","12","1212","63","",""
"a1109","20190924","25","12","1224","60","",""
"a1109","20190924","42","21","1237","","",""
"a1109","20190924","39","19","1257","46","",""
"a1109","20190924","48","24","1269","38","",""
"a1109","20190924","38","19","1277","35","",""
"a1109","20190924","31","15","1289","32","",""
"a1109","20190924","31","15","1296","29","",""
"a1109","20190924","31","15","1302","30","",""
"a1109","20190924","31","15","1284","34","",""
"a1109","20190924","26","13","1269","42","",""
"a1109","20190924","24","12","1261","46","",""
"a1109","20190924","24","12","1258","48","",""
"a1109","20190924","27","13","1255","51","",""
"a1109","20190924","25","12","1254","","",""
"a1113","20190924","9","5","1147","72","",""
"a1113","20190924","18","11","1144","74","",""
"a1113","20190924","22","13","1138","77","",""
"a1113","20190924","25","15","1135","77","",""
"a1113","20190924","13","8","1131","77","",""
"a1113","20190924","32","20","1125","79","",""
"a1113","20190924","11","6","1124","80","",""
"a1113","20190924","20","12","1123","80","",""
"a1113","20190924","55","34","1149","76","",""
"a1113","20190924","8","5","1173","66","",""
"a1113","20190924","25","15","1200","60","",""
"a1113","20190924","19","11","1224","46","",""
"a1113","20190924","14","8","1246","35","",""
"a1113","20190924","14","8","1248","35","",""
"a1113","20190924","16","10","","37","",""
"a1113","20190924","8","5","1250","38","",""
"a1113","20190924","16","10","1247","39","",""
"a1113","20190924","13","8","1238","48","",""
"a1113","20190924","9","5","1218","54","",""
"a1113","20190924","5","3","1208","","",""
"a1113","20190924","17","10","1191","65","",""
"a1113","20190924","9","5","1170","73","",""
"a1174","20190924","32","1","1192","70","",""
"a1174","20190924","8","2","1189","71","",""
"a1174","20190924","11","1","1185","72","",""
"a1174","20190924","4","2","","73","",""
"a1174","20190924","12","2","","77","",""
"a1174","20190924","12","1","1170","78","",""
"a1174","20190924","6","1","","78","",""
"a1174","20190924","6","2","1177","77","",""
"a1174","20190924","4","2","1213","65","",""
"a1174","20190924","11","2","1235","","",""
"a1174","20190924","4","1","1238","54","",""
"a1174","20190924","6","2","1244","49","",""
"a1174","20190924","11","1","1264","38","",""
"a1174","20190924","11","2","1273","35","",""
"a1174","20190924","8","1","1283","34","",""
"a1174","20190924","11","1","1276","38","",""
"a1174","20190924","11","2","1260","39","",""
"a1174","20190924","16","2","1241","43","",""
"a1174","20190924","11","2","1234","47","",""
"a1174","20190924","16","1","1226","52","",""
"a1174","20190924","4","2","1218","","",""
"a1174","20190924","16","1","1210","60","",""
"a1178","20190924","43","22","1172","82","",""
"a1178","20190924","45","23","1162","86","",""
"a1178","20190924","45","23","1162","86","",""
"a1178","20190924","36","19","1150","90","",""
"a1178","20190924","39","20","1150","89","",""
"a1178","20190924","36","19","1143","90","",""
"a1178","20190924","36","19","1145","91","",""
"a1178","20190924","30","15","1150","90","",""
"a1178","20190924","30","15","1163","85","",""
"a1178","20190924","25","13","1217","64","",""
"a1178","20190924","16","8","1251","52","",""
"a1178","20190924","60","31","1287","39","",""
"a1178","20190924","50","26","1291","35","",""
"a1178","20190924","35","18","1297","33","",""
"a1178","20190924","50","26","1294","33","",""
"a1178","20190924","33","17","1263","42","",""
"a1178","20190924","23","12","1240","51","",""
"a1178","20190924","28","14","1218","55","",""
"a1178","20190924","19","10","1210","","",""
"a1178","20190924","16","8","1205","58","",""
"a1178","20190924","19","10","1181","75","",""
"a1183","20190924","9","4","1262","41","",""
"a1183","20190924","8","4","1261","41","",""
"a1183","20190924","11","5","1260","41","",""
"a1183","20190924","10","5","1259","41","",""
"a1183","20190924","10","5","1258","42","",""
"a1183","20190924","8","4","1257","42","",""
"a1183","20190924","9","4","1256","42","",""
"a1183","20190924","8","4","1237","48","",""
"a1183","20190924","10","5","1241","47","",""
"a1183","20190924","12","6","1245","47","",""
"a1183","20190924","21","10","1250","48","",""
"a1183","20190924","11","5","1249","44","",""
"a1183","20190924","10","5","1248","44","",""
"a1183","20190924","10","5","1248","42","",""
"a1183","20190924","8","4","1250","43","",""
"a1183","20190924","9","4","1249","42","",""
"a1183","20190924","9","4","","42","",""
"a1183","20190924","26","13","1249","40","",""
"a1183","20190924","54","27","1246","42","",""
"a1183","20190924","38","19","1262","44","",""
"a1183","20190924","7","3","1241","53","",""
"a1183","20190924","25","12","1235","","",""
"a1183","20190924","30","15","1238","55","",""
