,value,label
0,13,pm10
1,19,pm10
2,19,pm10
3,19,pm10
4,19,pm10
5,19,pm10
6,19,pm10
7,19,pm10
8,18,pm10
9,13,pm10
10,18,pm10
11,17,pm10
12,19,pm10
13,19,pm10
14,19,pm10
15,15,pm10
16,24,pm10
17,19,pm10
18,24,pm10
19,15,pm10
20,15,pm10
21,17,pm10
22,19,pm10
23,7,pm10
24,4,pm10
25,5,pm10
26,4,pm10
27,11,pm10
28,6,pm10
29,6,pm10
30,16,pm10
31,7,pm10
32,8,pm10
33,16,pm10
34,13,pm10
35,5,pm10
36,17,pm10
37,5,pm10
38,13,pm10
39,10,pm10
40,5,pm10
41,7,pm10
42,4,pm10
43,14,pm10
44,5,pm10
45,26,pm10
46,31,pm10
47,17,pm10
48,15,pm10
49,22,pm10
50,19,pm10
51,17,pm10
52,31,pm10
53,31,pm10
54,15,pm10
55,15,pm10
56,13,pm10
57,10,pm10
58,28,pm10
59,17,pm10
60,31,pm10
61,5,pm10
62,6,pm10
63,5,pm10
64,16,pm10
65,6,pm10
66,6,pm10
67,17,pm10
68,15,pm10
69,25,pm10
70,25,pm10
71,25,pm10
72,25,pm10
73,30,pm10
74,25,pm10
75,25,pm10
76,40,pm10
77,25,pm10
78,25,pm10
79,42,pm10
80,39,pm10
81,48,pm10
82,38,pm10
83,31,pm10
84,31,pm10
85,31,pm10
86,31,pm10
87,26,pm10
88,24,pm10
89,24,pm10
90,27,pm10
91,25,pm10
92,9,pm10
93,18,pm10
94,22,pm10
95,25,pm10
96,13,pm10
97,32,pm10
98,11,pm10
99,20,pm10
100,55,pm10
101,8,pm10
102,25,pm10
103,19,pm10
104,14,pm10
105,14,pm10
106,16,pm10
107,8,pm10
108,16,pm10
109,13,pm10
110,9,pm10
111,5,pm10
112,17,pm10
113,9,pm10
114,32,pm10
115,8,pm10
116,11,pm10
117,4,pm10
118,12,pm10
119,12,pm10
120,6,pm10
121,6,pm10
122,4,pm10
123,11,pm10
124,4,pm10
125,6,pm10
126,11,pm10
127,11,pm10
128,8,pm10
129,11,pm10
130,11,pm10
131,16,pm10
132,11,pm10
133,16,pm10
134,4,pm10
135,16,pm10
136,43,pm10
137,45,pm10
138,45,pm10
139,36,pm10
140,39,pm10
141,36,pm10
142,36,pm10
143,30,pm10
144,30,pm10
145,25,pm10
146,16,pm10
147,60,pm10
148,50,pm10
149,35,pm10
150,50,pm10
151,33,pm10
152,23,pm10
153,28,pm10
154,19,pm10
155,16,pm10
156,19,pm10
157,9,pm10
158,8,pm10
159,11,pm10
160,10,pm10
161,10,pm10
162,8,pm10
163,9,pm10
164,8,pm10
165,10,pm10
166,12,pm10
167,21,pm10
168,11,pm10
169,10,pm10
170,10,pm10
171,8,pm10
172,9,pm10
173,9,pm10
174,26,pm10
175,54,pm10
176,38,pm10
177,7,pm10
178,25,pm10
179,30,pm10
180,4,pm25
181,7,pm25
182,7,pm25
183,7,pm25
184,7,pm25
185,7,pm25
186,7,pm25
187,7,pm25
188,6,pm25
189,4,pm25
190,6,pm25
191,6,pm25
192,7,pm25
193,7,pm25
194,7,pm25
195,5,pm25
196,8,pm25
197,7,pm25
198,8,pm25
199,5,pm25
200,5,pm25
201,6,pm25
202,7,pm25
203,4,pm25
204,2,pm25
205,3,pm25
206,2,pm25
207,7,pm25
208,3,pm25
209,3,pm25
210,10,pm25
211,4,pm25
212,5,pm25
213,10,pm25
214,8,pm25
215,3,pm25
216,11,pm25
217,3,pm25
218,8,pm25
219,6,pm25
220,3,pm25
221,4,pm25
222,2,pm25
223,9,pm25
224,3,pm25
225,17,pm25
226,20,pm25
227,11,pm25
228,9,pm25
229,14,pm25
230,12,pm25
231,11,pm25
232,20,pm25
233,20,pm25
234,9,pm25
235,9,pm25
236,8,pm25
237,6,pm25
238,18,pm25
239,11,pm25
240,20,pm25
241,3,pm25
242,3,pm25
243,3,pm25
244,10,pm25
245,3,pm25
246,3,pm25
247,11,pm25
248,9,pm25
249,12,pm25
250,12,pm25
251,12,pm25
252,12,pm25
253,15,pm25
254,12,pm25
255,12,pm25
256,20,pm25
257,12,pm25
258,12,pm25
259,21,pm25
260,19,pm25
261,24,pm25
262,19,pm25
263,15,pm25
264,15,pm25
265,15,pm25
266,15,pm25
267,13,pm25
268,12,pm25
269,12,pm25
270,13,pm25
271,12,pm25
272,5,pm25
273,11,pm25
274,13,pm25
275,15,pm25
276,8,pm25
277,20,pm25
278,6,pm25
279,12,pm25
280,34,pm25
281,5,pm25
282,15,pm25
283,11,pm25
284,8,pm25
285,8,pm25
286,10,pm25
287,5,pm25
288,10,pm25
289,8,pm25
290,5,pm25
291,3,pm25
292,10,pm25
293,5,pm25
294,1,pm25
295,2,pm25
296,1,pm25
297,2,pm25
298,2,pm25
299,1,pm25
300,1,pm25
301,2,pm25
302,2,pm25
303,2,pm25
304,1,pm25
305,2,pm25
306,1,pm25
307,2,pm25
308,1,pm25
309,1,pm25
310,2,pm25
311,2,pm25
312,2,pm25
313,1,pm25
314,2,pm25
315,1,pm25
316,22,pm25
317,23,pm25
318,23,pm25
319,19,pm25
320,20,pm25
321,19,pm25
322,19,pm25
323,15,pm25
324,15,pm25
325,13,pm25
326,8,pm25
327,31,pm25
328,26,pm25
329,18,pm25
330,26,pm25
331,17,pm25
332,12,pm25
333,14,pm25
334,10,pm25
335,8,pm25
336,10,pm25
337,4,pm25
338,4,pm25
339,5,pm25
340,5,pm25
341,5,pm25
342,4,pm25
343,4,pm25
344,4,pm25
345,5,pm25
346,6,pm25
347,10,pm25
348,5,pm25
349,5,pm25
350,5,pm25
351,4,pm25
352,4,pm25
353,4,pm25
354,13,pm25
355,27,pm25
356,19,pm25
357,3,pm25
358,12,pm25
359,15,pm25
