pm10,pm25,temp,humi
13.0,4.0,1216.0,60.0
19.0,7.0,1209.0,60.0
,7.0,1200.0,64.0
19.0,7.0,1195.0,65.0
19.0,7.0,,67.0
19.0,7.0,1186.0,69.0
,,1180.0,70.0
19.0,7.0,1180.0,71.0
19.0,7.0,1186.0,69.0
18.0,6.0,1207.0,61.0
,4.0,1227.0,
18.0,6.0,1255.0,45.0
17.0,6.0,1271.0,38.0
19.0,7.0,1294.0,30.0
19.0,7.0,,29.0
19.0,7.0,1307.0,25.0
,5.0,1294.0,30.0
24.0,8.0,1282.0,33.0
19.0,7.0,1266.0,34.0
,8.0,1254.0,38.0
15.0,5.0,1245.0,41.0
15.0,5.0,1232.0,54.0
17.0,6.0,1227.0,
19.0,7.0,,59.0
7.0,4.0,1200.0,60.0
,,1190.0,62.0
4.0,2.0,1181.0,67.0
5.0,3.0,1175.0,69.0
4.0,2.0,1176.0,70.0
11.0,7.0,1172.0,73.0
6.0,3.0,1179.0,69.0
6.0,3.0,1182.0,69.0
16.0,10.0,1189.0,67.0
7.0,4.0,1215.0,58.0
8.0,5.0,1243.0,49.0
16.0,10.0,1239.0,46.0
13.0,8.0,,40.0
5.0,3.0,1254.0,39.0
,11.0,1262.0,34.0
5.0,3.0,1264.0,37.0
13.0,8.0,1265.0,38.0
10.0,6.0,1264.0,36.0
5.0,3.0,1253.0,37.0
7.0,4.0,1239.0,44.0
,,1233.0,50.0
4.0,2.0,1225.0,61.0
14.0,9.0,1224.0,63.0
5.0,3.0,1220.0,61.0
26.0,17.0,,80.0
31.0,20.0,1117.0,80.0
17.0,11.0,1114.0,81.0
15.0,9.0,1111.0,82.0
22.0,14.0,,82.0
19.0,12.0,1109.0,82.0
17.0,11.0,1108.0,83.0
31.0,20.0,1110.0,83.0
31.0,20.0,1135.0,82.0
,9.0,1203.0,59.0
15.0,9.0,1203.0,59.0
13.0,8.0,1221.0,48.0
10.0,6.0,1239.0,45.0
28.0,18.0,1255.0,37.0
17.0,11.0,1279.0,34.0
31.0,20.0,1269.0,35.0
5.0,3.0,1242.0,43.0
6.0,3.0,1226.0,46.0
5.0,3.0,1195.0,58.0
16.0,10.0,1168.0,67.0
6.0,3.0,1152.0,71.0
6.0,3.0,1144.0,75.0
17.0,11.0,1138.0,78.0
15.0,9.0,,80.0
25.0,12.0,1237.0,53.0
25.0,12.0,1230.0,
25.0,12.0,1224.0,57.0
25.0,12.0,1217.0,59.0
30.0,15.0,1215.0,61.0
25.0,12.0,,62.0
25.0,12.0,1209.0,63.0
,20.0,,63.0
25.0,12.0,1212.0,63.0
25.0,12.0,1224.0,60.0
42.0,21.0,1237.0,60.0
39.0,19.0,1257.0,46.0
,,1263.0,44.0
48.0,24.0,1269.0,38.0
38.0,19.0,1277.0,35.0
31.0,15.0,1289.0,32.0
31.0,15.0,1296.0,29.0
31.0,15.0,1302.0,30.0
31.0,15.0,1284.0,34.0
26.0,13.0,1269.0,42.0
24.0,12.0,1261.0,46.0
24.0,12.0,1258.0,48.0
27.0,13.0,1255.0,51.0
25.0,12.0,1254.0,
9.0,5.0,1147.0,72.0
18.0,11.0,1144.0,74.0
22.0,13.0,1138.0,77.0
25.0,15.0,1135.0,77.0
13.0,8.0,1131.0,77.0
32.0,20.0,1125.0,79.0
11.0,6.0,1124.0,80.0
20.0,12.0,1123.0,80.0
55.0,34.0,1149.0,76.0
8.0,5.0,1173.0,66.0
25.0,15.0,1200.0,60.0
19.0,11.0,1224.0,46.0
,,1228.0,34.0
14.0,8.0,1246.0,35.0
14.0,8.0,1248.0,35.0
16.0,10.0,,37.0
8.0,5.0,1250.0,38.0
16.0,10.0,1247.0,39.0
13.0,8.0,1238.0,48.0
9.0,5.0,1218.0,54.0
5.0,3.0,1208.0,
17.0,10.0,1191.0,65.0
,,1176.0,71.0
9.0,5.0,1170.0,73.0
32.0,1.0,1192.0,70.0
8.0,2.0,1189.0,71.0
11.0,1.0,1185.0,72.0
4.0,2.0,,73.0
,,1173.0,77.0
12.0,2.0,,77.0
12.0,1.0,1170.0,78.0
6.0,1.0,,78.0
6.0,2.0,1177.0,77.0
4.0,2.0,1213.0,65.0
11.0,2.0,1235.0,60.0
4.0,1.0,1238.0,54.0
6.0,2.0,1244.0,49.0
11.0,1.0,1264.0,38.0
11.0,2.0,1273.0,35.0
,,1281.0,34.0
8.0,1.0,1283.0,34.0
11.0,1.0,1276.0,38.0
11.0,2.0,1260.0,39.0
16.0,2.0,1241.0,43.0
11.0,2.0,1234.0,47.0
16.0,1.0,1226.0,52.0
4.0,2.0,1218.0,60.0
16.0,1.0,1210.0,60.0
43.0,22.0,1172.0,82.0
45.0,23.0,1162.0,86.0
45.0,23.0,1162.0,86.0
36.0,19.0,1150.0,90.0
39.0,20.0,1150.0,89.0
,,1146.0,90.0
36.0,19.0,1143.0,90.0
36.0,19.0,1145.0,91.0
30.0,15.0,1150.0,90.0
30.0,15.0,1163.0,85.0
,,1187.0,75.0
25.0,13.0,1217.0,64.0
16.0,8.0,1251.0,52.0
60.0,31.0,1287.0,39.0
50.0,26.0,1291.0,35.0
35.0,18.0,1297.0,33.0
50.0,26.0,1294.0,33.0
33.0,17.0,1263.0,42.0
23.0,12.0,1240.0,51.0
28.0,14.0,1218.0,55.0
19.0,10.0,1210.0,
16.0,8.0,1205.0,58.0
,,1192.0,72.0
19.0,10.0,1181.0,75.0
9.0,4.0,1262.0,41.0
8.0,4.0,1261.0,41.0
11.0,5.0,1260.0,41.0
10.0,5.0,1259.0,41.0
10.0,5.0,1258.0,42.0
8.0,4.0,1257.0,42.0
9.0,4.0,1256.0,42.0
8.0,4.0,1237.0,48.0
10.0,5.0,1241.0,47.0
12.0,6.0,1245.0,47.0
21.0,10.0,1250.0,48.0
11.0,5.0,1249.0,44.0
10.0,5.0,1248.0,44.0
10.0,5.0,1248.0,42.0
8.0,4.0,1250.0,43.0
9.0,4.0,1249.0,42.0
9.0,4.0,,42.0
26.0,13.0,1249.0,40.0
54.0,27.0,1246.0,42.0
38.0,19.0,1262.0,44.0
,,1267.0,42.0
7.0,3.0,1241.0,53.0
25.0,12.0,1235.0,
30.0,15.0,1238.0,55.0
