pm10,pm25,temp,humi
13,4,1216,60
19,7,1209,60
18,7,1200,64
19,7,1195,65
19,7,,67
19,7,1186,69
18,,1180,70
19,7,1180,71
19,7,1186,69
18,6,1207,61
18,4,1227,
18,6,1255,45
17,6,1271,38
19,7,1294,30
19,7,,29
19,7,1307,25
18,5,1294,30
24,8,1282,33
19,7,1266,34
18,8,1254,38
15,5,1245,41
15,5,1232,54
17,6,1227,
19,7,,59
7,4,1200,60
18,,1190,62
4,2,1181,67
5,3,1175,69
4,2,1176,70
11,7,1172,73
6,3,1179,69
6,3,1182,69
16,10,1189,67
7,4,1215,58
8,5,1243,49
16,10,1239,46
13,8,,40
5,3,1254,39
18,11,1262,34
5,3,1264,37
13,8,1265,38
10,6,1264,36
5,3,1253,37
7,4,1239,44
18,,1233,50
4,2,1225,61
14,9,1224,63
5,3,1220,61
26,17,,80
31,20,1117,80
17,11,1114,81
15,9,1111,82
22,14,,82
19,12,1109,82
17,11,1108,83
31,20,1110,83
31,20,1135,82
18,9,1203,59
15,9,1203,59
13,8,1221,48
10,6,1239,45
28,18,1255,37
17,11,1279,34
31,20,1269,35
5,3,1242,43
6,3,1226,46
5,3,1195,58
16,10,1168,67
6,3,1152,71
6,3,1144,75
17,11,1138,78
15,9,,80
25,12,1237,53
25,12,1230,
25,12,1224,57
25,12,1217,59
30,15,1215,61
25,12,,62
25,12,1209,63
18,20,,63
25,12,1212,63
25,12,1224,60
42,21,1237,60
39,19,1257,46
18,,1263,44
48,24,1269,38
38,19,1277,35
31,15,1289,32
31,15,1296,29
31,15,1302,30
31,15,1284,34
26,13,1269,42
24,12,1261,46
24,12,1258,48
27,13,1255,51
25,12,1254,
9,5,1147,72
18,11,1144,74
22,13,1138,77
25,15,1135,77
13,8,1131,77
32,20,1125,79
11,6,1124,80
20,12,1123,80
55,34,1149,76
8,5,1173,66
25,15,1200,60
19,11,1224,46
18,,1228,34
14,8,1246,35
14,8,1248,35
16,10,,37
8,5,1250,38
16,10,1247,39
13,8,1238,48
9,5,1218,54
5,3,1208,
17,10,1191,65
18,,1176,71
9,5,1170,73
32,1,1192,70
8,2,1189,71
11,1,1185,72
4,2,,73
18,,1173,77
12,2,,77
12,1,1170,78
6,1,,78
6,2,1177,77
4,2,1213,65
11,2,1235,60
4,1,1238,54
6,2,1244,49
11,1,1264,38
11,2,1273,35
18,,1281,34
8,1,1283,34
11,1,1276,38
11,2,1260,39
16,2,1241,43
11,2,1234,47
16,1,1226,52
4,2,1218,60
16,1,1210,60
43,22,1172,82
45,23,1162,86
45,23,1162,86
36,19,1150,90
39,20,1150,89
18,,1146,90
36,19,1143,90
36,19,1145,91
30,15,1150,90
30,15,1163,85
18,,1187,75
25,13,1217,64
16,8,1251,52
60,31,1287,39
50,26,1291,35
35,18,1297,33
50,26,1294,33
33,17,1263,42
23,12,1240,51
28,14,1218,55
19,10,1210,
16,8,1205,58
18,,1192,72
19,10,1181,75
9,4,1262,41
8,4,1261,41
11,5,1260,41
10,5,1259,41
10,5,1258,42
8,4,1257,42
9,4,1256,42
8,4,1237,48
10,5,1241,47
12,6,1245,47
21,10,1250,48
11,5,1249,44
10,5,1248,44
10,5,1248,42
8,4,1250,43
9,4,1249,42
9,4,,42
26,13,1249,40
54,27,1246,42
38,19,1262,44
18,,1267,42
7,3,1241,53
25,12,1235,
30,15,1238,55
