"","f_00","f_01","f_02","f_03","f_04","f_05","f_06","f_07","f_08","f_09","f_10","f_11"
"f_00",1.0,-0.31257242511844147,-0.33880819668609935,-0.2537335374824149,0.4130158455434243,-0.010382290323162529,-0.2251053273503947,-0.8156297036174562,0.31257244074476676,0.33880820154704244,0.2537335374824149,0.4033352777504767
"f_01",-0.31257242511844147,1.0,0.1314729332280151,0.8892957170413842,-0.5229879722123271,0.009937337117418668,0.1359872066952078,0.32771560402933303,-0.9999999999998969,-0.1314729336146697,-0.8892957170413841,-0.41770557742750325
"f_02",-0.33880819668609935,0.1314729332280151,1.0,0.13406838356757816,-0.41878264618740024,-0.005613805319264451,0.03217761755970914,0.362898006188047,-0.13147290510019702,-0.9999999999999901,-0.13406838356757791,-0.9310631342903252
"f_03",-0.2537335374824149,0.8892957170413842,0.13406838356757816,1.0,-0.40082922616193933,0.007731438252419427,0.0660280466148401,0.26362912414897544,-0.8892957185681972,-0.13406837963599247,-1.0,-0.4190986758556523
"f_04",0.4130158455434243,-0.5229879722123271,-0.41878264618740024,-0.40082922616193933,1.0,0.12846917060194263,-0.05626658617622215,-0.44808626602838975,0.5229879205322364,0.41878264622607675,0.4008292261619393,0.5292305807365781
"f_05",-0.010382290323162529,0.009937337117418668,-0.005613805319264451,0.007731438252419427,0.12846917060194263,1.0,0.03679906053761554,0.024426724648507276,-0.009937320822996665,0.005613810706130986,-0.007731438252419377,0.002249867969668012
"f_06",-0.2251053273503947,0.1359872066952078,0.03217761755970914,0.0660280466148401,-0.05626658617622215,0.03679906053761554,1.0,0.14054936206861618,-0.13598717691068066,-0.03217762291978285,-0.06602804661484012,-0.06497841221324398
"f_07",-0.8156297036174562,0.32771560402933303,0.362898006188047,0.26362912414897544,-0.44808626602838975,0.024426724648507276,0.14054936206861618,1.0,-0.32771570747172246,-0.36289801830065754,-0.26362912414897544,-0.42396999187983037
"f_08",0.31257244074476676,-0.9999999999998969,-0.13147290510019702,-0.8892957185681972,0.5229879205322364,-0.009937320822996665,-0.13598717691068066,-0.32771570747172246,1.0,0.13147290548685636,0.8892957185681976,0.4177055621258732
"f_09",0.33880820154704244,-0.1314729336146697,-0.9999999999999901,-0.13406837963599247,0.41878264622607675,0.005613810706130986,-0.03217762291978285,-0.36289801830065754,0.13147290548685636,1.0,0.13406837963599239,0.9310631353446714
"f_10",0.2537335374824149,-0.8892957170413841,-0.13406838356757791,-1.0,0.4008292261619393,-0.007731438252419377,-0.06602804661484012,-0.26362912414897544,0.8892957185681976,0.13406837963599239,1.0,0.419098675855652
"f_11",0.4033352777504767,-0.41770557742750325,-0.9310631342903252,-0.4190986758556523,0.5292305807365781,0.002249867969668012,-0.06497841221324398,-0.42396999187983037,0.4177055621258732,0.9310631353446714,0.419098675855652,1.0
