pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"DG1 1AA","DG1  1AA","DG1 1AA","198001","","1","297315","0576211","1","S00098280","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000120","S03000005","S99999999","S99999999","2","2B1",55.069708,-3.609592,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1AD","DG1  1AD","DG1 1AD","198608","199512","1","297310","0576200","8","S00098280","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000120","S03000005","S99999999","S99999999","2","2B1",55.069608,-3.609667,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1AE","DG1  1AE","DG1 1AE","199906","201209","1","297283","0576151","1","S00098280","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000120","S03000005","S99999999","S99999999","2","2B1",55.069162,-3.610072,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1AG","DG1  1AG","DG1 1AG","200607","","0","298292","0589202","1","S00097211","S99999999","S99999999","S12000006","S13002887","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000500","S99999999","S01007566","S02001421","S34000775","S03000005","S99999999","S99999999","6","1B3",55.186600,-3.598957,"S99999999","S99999999","S23000009",3628,"S99999999","S99999999"
"DG1 1AU","DG1  1AU","DG1 1AU","200006","200710","1","297316","0576211","1","S00098280","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000120","S03000005","S99999999","S99999999","2","2B1",55.069708,-3.609577,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1AX","DG1  1AX","DG1 1AX","200201","200203","1","297316","0576211","1","S00098280","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000120","S03000005","S99999999","S99999999","2","2B1",55.069708,-3.609577,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1BA","DG1  1BA","DG1 1BA","198001","","0","297325","0576210","1","S00098280","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000120","S03000005","S99999999","S99999999","2","2B1",55.069706,-3.609433,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1BB","DG1  1BB","DG1 1BB","198001","199512","1","297310","0576200","8","S00098280","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000120","S03000005","S99999999","S99999999","2","2B1",55.069608,-3.609667,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1BD","DG1  1BD","DG1 1BD","198001","","0","297311","0576170","1","S00098280","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000120","S03000005","S99999999","S99999999","2","2B1",55.069339,-3.609640,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1BF","DG1  1BF","DG1 1BF","199712","","1","297260","0576181","1","S00097787","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000110","S03000005","S99999999","S99999999","2","7A2",55.069432,-3.610440,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1BG","DG1  1BG","DG1 1BG","198001","","0","297238","0576219","1","S00097787","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000110","S03000005","S99999999","S99999999","2","7A2",55.069764,-3.610801,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1BH","DG1  1BH","DG1 1BH","198001","","0","297201","0576259","1","S00097787","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000108","S03000005","S99999999","S99999999","2","7A2",55.070115,-3.611394,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1BJ","DG1  1BJ","DG1 1BJ","198001","","1","297101","0576249","1","S00097787","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000108","S03000005","S99999999","S99999999","2","7A2",55.070005,-3.612956,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1BL","DG1  1BL","DG1 1BL","198001","","0","297223","0576178","1","S00098280","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000120","S03000005","S99999999","S99999999","2","2B1",55.069397,-3.611018,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1BN","DG1  1BN","DG1 1BN","199806","200209","1","297252","0576135","1","S00097812","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000111","S03000005","S99999999","S99999999","2","7B3",55.069012,-3.610551,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1BQ","DG1  1BQ","DG1 1BQ","198001","199502","1","297250","0576230","8","S00097787","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000110","S03000005","S99999999","S99999999","2","7A2",55.069865,-3.610617,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1BS","DG1  1BS","DG1 1BS","198001","","0","297177","0576291","1","S00097787","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000108","S03000005","S99999999","S99999999","2","7A2",55.070398,-3.611781,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1BT","DG1  1BT","DG1 1BT","198001","","0","297244","0576287","1","S00097787","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000110","S03000005","S99999999","S99999999","2","7A2",55.070381,-3.610728,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1BU","DG1  1BU","DG1 1BU","198001","","0","297214","0576323","1","S00097787","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000110","S03000005","S99999999","S99999999","2","7A2",55.070693,-3.611214,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1BW","DG1  1BW","DG1 1BW","198001","","0","297173","0576255","1","S00097787","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000108","S03000005","S99999999","S99999999","2","7A2",55.070079,-3.611828,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1BX","DG1  1BX","DG1 1BX","199512","","0","297249","0576234","1","S00097787","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000110","S03000005","S99999999","S99999999","2","7A2",55.069901,-3.610634,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1BY","DG1  1BY","DG1 1BY","198001","","0","297219","0576368","1","S00097787","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000110","S03000005","S99999999","S99999999","2","7A2",55.071098,-3.611152,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1BZ","DG1  1BZ","DG1 1BZ","198001","","0","297276","0576428","1","S00097788","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000499","S99999999","S01007613","S02001431","S34000917","S03000005","S99999999","S99999999","2","5A3",55.071649,-3.610281,"S99999999","S99999999","S23000009",3172,"S99999999","S99999999"
"DG1 1DA","DG1  1DA","DG1 1DA","198001","","1","297294","0576403","1","S00097788","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000499","S99999999","S01007613","S02001431","S34000917","S03000005","S99999999","S99999999","2","5A3",55.071428,-3.609990,"S99999999","S99999999","S23000009",3172,"S99999999","S99999999"
"DG1 1DB","DG1  1DB","DG1 1DB","198001","","0","297166","0576367","1","S00097787","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000110","S03000005","S99999999","S99999999","2","7A2",55.071083,-3.611978,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1DD","DG1  1DD","DG1 1DD","198001","","1","297220","0576469","1","S00097787","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000110","S03000005","S99999999","S99999999","2","7A2",55.072006,-3.611173,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1DE","DG1  1DE","DG1 1DE","198001","","0","297105","0576289","1","S00097787","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000108","S03000005","S99999999","S99999999","2","7A2",55.070370,-3.612905,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1DF","DG1  1DF","DG1 1DF","198001","","0","297174","0576317","1","S00097787","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000108","S03000005","S99999999","S99999999","2","7A2",55.070636,-3.611835,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1DG","DG1  1DG","DG1 1DG","198001","","1","297024","0576406","1","S00097786","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000869","S03000005","S99999999","S99999999","2","7D1",55.071399,-3.614218,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
"DG1 1DH","DG1  1DH","DG1 1DH","198001","199502","1","297160","0576300","8","S00097787","S99999999","S99999999","S12000006","S13002888","S08000017","S99999999","S92000003","S99999999","S14000013","S15000001","S09000004","S22000055","S03000005","S31000498","S99999999","S01007612","S02001430","S34000108","S03000005","S99999999","S99999999","2","7A2",55.070475,-3.612051,"S99999999","S99999999","S23000009",361,"S99999999","S99999999"
