pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"DT1 1AA","DT1  1AA","DT1 1AA","199002","","1","368730","0090722","1","E00104064","E99999999","E99999999","E06000059","E05012698","E18000010","E40000006","E92000001","E12000009","E14001031","E15000009","E24000034","E30000046","E16000142","E05012698","E99999999","E01032643","E02004277","E33046462","E38000045","E34000016","E35999999","C1","5A3",50.715280,-2.444281,"E37000009","","E23000039",21249,"E56000016","E54000041"
"DT1 1AB","DT1  1AB","DT1 1AB","200409","","0","369874","0090687","1","E00104048","E99999999","E99999999","E06000059","E05012696","E18000010","E40000006","E92000001","E12000009","E14001031","E15000009","E24000034","E30000046","E16000142","E05012696","E99999999","E01020518","E02004278","E33049589","E38000045","E34000016","E35999999","C1","7A3",50.715026,-2.428075,"E37000009","","E23000039",13446,"E56000016","E54000041"
"DT1 1AD","DT1  1AD","DT1 1AD","199109","","0","369245","0090319","1","E00104066","E99999999","E99999999","E06000059","E05012696","E18000010","E40000006","E92000001","E12000009","E14001031","E15000009","E24000034","E30000046","E16000142","E05012696","E99999999","E01032645","E02004277","E33046463","E38000045","E34000016","E35999999","C1","7D3",50.711683,-2.436953,"E37000009","","E23000039",10948,"E56000016","E54000041"
"DT1 1AE","DT1  1AE","DT1 1AE","200206","","0","369076","0090500","1","E00104059","E99999999","E99999999","E06000059","E05012698","E18000010","E40000006","E92000001","E12000009","E14001031","E15000009","E24000034","E30000046","E16000142","E05012698","E99999999","E01032644","E02004277","E33046454","E38000045","E34000016","E35999999","C1","7D1",50.713302,-2.439362,"E37000009","","E23000039",12830,"E56000016","E54000041"
"DT1 1AF","DT1  1AF","DT1 1AF","200206","","0","369092","0090468","1","E00104060","E99999999","E99999999","E06000059","E05012698","E18000010","E40000006","E92000001","E12000009","E14001031","E15000009","E24000034","E30000046","E16000142","E05012698","E99999999","E01032644","E02004277","E33046459","E38000045","E34000016","E35999999","C1","7D3",50.713015,-2.439133,"E37000009","","E23000039",12830,"E56000016","E54000041"
"DT1 1AG","DT1  1AG","DT1 1AG","200508","","0","369069","0090409","1","E00104060","E99999999","E99999999","E06000059","E05012698","E18000010","E40000006","E92000001","E12000009","E14001031","E15000009","E24000034","E30000046","E16000142","E05012698","E99999999","E01032644","E02004277","E33046459","E38000045","E34000016","E35999999","C1","7D3",50.712483,-2.439454,"E37000009","","E23000039",12830,"E56000016","E54000041"
"DT1 1AH","DT1  1AH","DT1 1AH","200808","","0","368593","0090782","1","E00104057","E99999999","E99999999","E06000059","E05012698","E18000010","E40000006","E92000001","E12000009","E14001031","E15000009","E24000034","E30000046","E16000142","E05012698","E99999999","E01032643","E02004277","E33046449","E38000045","E34000016","E35999999","C1","5B3",50.715812,-2.446227,"E37000009","","E23000039",21249,"E56000016","E54000041"
"DT1 1AJ","DT1  1AJ","DT1 1AJ","198607","199412","1","374100","0084000","8","E00104164","E99999999","E99999999","E06000059","E05012695","E18000010","E40000006","E92000001","E12000009","E14000936","E15000009","E24000034","E30000046","E16000142","E05012695","E99999999","E01020537","E02004279","E33049598","E38000045","E34999999","E35999999","F1","1B2",50.655097,-2.367748,"E37000009","","E23000039",20455,"E56000016","E54000041"
"DT1 1AL","DT1  1AL","DT1 1AL","200610","","0","370090","0090402","1","E00104050","E99999999","E99999999","E06000059","E05012696","E18000010","E40000006","E92000001","E12000009","E14001031","E15000009","E24000034","E30000046","E16000142","E05012696","E99999999","E01020518","E02004278","E33049589","E38000045","E34000016","E35999999","C1","5B3",50.712465,-2.424990,"E37000009","","E23000039",13446,"E56000016","E54000041"
"DT1 1AN","DT1  1AN","DT1 1AN","198604","","0","369956","0090295","1","E00104055","E99999999","E99999999","E06000059","E05012696","E18000010","E40000006","E92000001","E12000009","E14001031","E15000009","E24000034","E30000046","E16000142","E05012696","E99999999","E01020520","E02004278","E33049591","E38000045","E34000016","E35999999","C1","5B3",50.711505,-2.426882,"E37000009","","E23000039",24095,"E56000016","E54000041"
"DT1 1AP","DT1  1AP","DT1 1AP","200802","","0","369204","0090495","1","E00104060","E99999999","E99999999","E06000059","E05012698","E18000010","E40000006","E92000001","E12000009","E14001031","E15000009","E24000034","E30000046","E16000142","E05012698","E99999999","E01032644","E02004277","E33046460","E38000045","E34000016","E35999999","C1","7D3",50.713264,-2.437549,"E37000009","","E23000039",12830,"E56000016","E54000041"
"DT1 1AQ","DT1  1AQ","DT1 1AQ","200411","","0","369049","0090458","1","E00104060","E99999999","E99999999","E06000059","E05012698","E18000010","E40000006","E92000001","E12000009","E14001031","E15000009","E24000034","E30000046","E16000142","E05012698","E99999999","E01032644","E02004277","E33046456","E38000045","E34000016","E35999999","C1","7D3",50.712923,-2.439741,"E37000009","","E23000039",12830,"E56000016","E54000041"
