Location,Number of Households (in 1000),Dog Owning Households,Cat Owning Households
Alabama,1828,807,501
Arizona,2515,1008,743
Arkansas,1148,550,351
California,12974,4260,3687
Colorado,1986,845,642
Connecticut,1337,379,427
Delaware,334,113,113
District of Columbia,287,38,33
Florida,7609,2718,2079
Georgia,3798,1522,1037
Idaho,568,242,196
Illinois,5026,1627,1321
Indiana,2478,989,852
Iowa,1219,407,370
Kansas,1133,480,378
Kentucky,1777,816,654
Louisiana,1702,619,441
Maine,548,190,254
Maryland,2169,667,645
Massachusetts,2618,618,892
Michigan,3804,1318,1192
Minnesota,2163,690,643
Mississippi,1115,504,324
Missouri,2498,1148,805
Montana,410,169,138
Nebraska,710,240,222
Nevada,986,366,299
New Hampshire,508,154,174
New Jersey,3177,1028,803
New Mexico,773,356,247
New York,7512,2177,2189
North Carolina,3701,1491,1090
North Dakota,272,98,85
Ohio,4661,1708,1553
Oklahoma,1479,638,482
Oregon,1505,584,605
Pennsylvania,5172,1702,1748
Rhode Island,434,127,120
South Carolina,1759,678,490
South Dakota,333,143,130
Tennessee,2583,1140,770
Texas,9002,3960,2544
Utah,930,273,229
Vermont,265,100,131
Virginia,3017,1069,876
Washington,2632,954,1028
West Virginia,765,350,291
Wisconsin,2350,796,776
Wyoming,221,86,75
