species,number,sepal_length,sepal_width,petal_length,petal_width,species_id
setosa,0,5.1,3.5,1.4,0.2,1
setosa,1,4.9,3,1.4,0.2,1
setosa,2,4.7,3.2,1.3,0.2,1
setosa,3,4.6,3.1,1.5,0.2,1
setosa,4,5,3.6,1.4,0.2,1
setosa,5,5.4,3.9,1.7,0.4,1
setosa,6,4.6,3.4,1.4,0.3,1
setosa,7,5,3.4,1.5,0.2,1
setosa,8,4.4,2.9,1.4,0.2,1
setosa,9,4.9,3.1,1.5,0.1,1
setosa,10,5.4,3.7,1.5,0.2,1
setosa,11,4.8,3.4,1.6,0.2,1
setosa,12,4.8,3,1.4,0.1,1
setosa,13,4.3,3,1.1,0.1,1
setosa,14,5.8,4,1.2,0.2,1
setosa,15,5.7,4.4,1.5,0.4,1
setosa,16,5.4,3.9,1.3,0.4,1
setosa,17,5.1,3.5,1.4,0.3,1
setosa,18,5.7,3.8,1.7,0.3,1
setosa,19,5.1,3.8,1.5,0.3,1
setosa,20,5.4,3.4,1.7,0.2,1
setosa,21,5.1,3.7,1.5,0.4,1
setosa,22,4.6,3.6,1,0.2,1
setosa,23,5.1,3.3,1.7,0.5,1
setosa,24,4.8,3.4,1.9,0.2,1
setosa,25,5,3,1.6,0.2,1
setosa,26,5,3.4,1.6,0.4,1
setosa,27,5.2,3.5,1.5,0.2,1
setosa,28,5.2,3.4,1.4,0.2,1
setosa,29,4.7,3.2,1.6,0.2,1
setosa,30,4.8,3.1,1.6,0.2,1
setosa,31,5.4,3.4,1.5,0.4,1
setosa,32,5.2,4.1,1.5,0.1,1
setosa,33,5.5,4.2,1.4,0.2,1
setosa,34,4.9,3.1,1.5,0.1,1
setosa,35,5,3.2,1.2,0.2,1
setosa,36,5.5,3.5,1.3,0.2,1
setosa,37,4.9,3.1,1.5,0.1,1
setosa,38,4.4,3,1.3,0.2,1
setosa,39,5.1,3.4,1.5,0.2,1
setosa,40,5,3.5,1.3,0.3,1
setosa,41,4.5,2.3,1.3,0.3,1
setosa,42,4.4,3.2,1.3,0.2,1
setosa,43,5,3.5,1.6,0.6,1
setosa,44,5.1,3.8,1.9,0.4,1
setosa,45,4.8,3,1.4,0.3,1
setosa,46,5.1,3.8,1.6,0.2,1
setosa,47,4.6,3.2,1.4,0.2,1
