Hedge 5: X: 1.479000, Y: 1.216000, Z: -0.266000, Angle: 0 at time T: 6817045
Hedge 5: X: 0.116000, Y: 2.241000, Z: -0.082000, Angle: 0 at time T: 6818738
Hedge 5: X: -0.107000, Y: 2.575000, Z: -0.222000, Angle: 0 at time T: 6819089
Hedge 5: X: -0.058000, Y: 2.684000, Z: -0.379000, Angle: 0 at time T: 6819438
Hedge 5: X: 0.248000, Y: 1.363000, Z: -0.191000, Angle: 0 at time T: 6820644
Hedge 5: X: 0.272000, Y: 1.225000, Z: -0.188000, Angle: 0 at time T: 6820823
Hedge 5: X: 0.305000, Y: 1.081000, Z: -0.109000, Angle: 0 at time T: 6821004
Hedge 5: X: 0.331000, Y: 0.931000, Z: -0.116000, Angle: 0 at time T: 6821186
Hedge 5: X: 0.362000, Y: 0.740000, Z: -0.207000, Angle: 0 at time T: 6821368
Hedge 5: X: 0.439000, Y: 0.372000, Z: -0.094000, Angle: 0 at time T: 6821729
Hedge 5: X: 0.466000, Y: 0.156000, Z: -0.200000, Angle: 0 at time T: 6821908
Hedge 5: X: 0.555000, Y: -0.246000, Z: -0.091000, Angle: 0 at time T: 6822413
Hedge 5: X: 0.568000, Y: -0.380000, Z: -0.180000, Angle: 0 at time T: 6822590
Hedge 5: X: 0.537000, Y: -1.033000, Z: -0.135000, Angle: 0 at time T: 6823280
Hedge 5: X: 0.523000, Y: -1.213000, Z: -0.188000, Angle: 0 at time T: 6823454
Hedge 5: X: 0.506000, Y: -1.335000, Z: -0.323000, Angle: 0 at time T: 6823622
Hedge 5: X: 0.694000, Y: -1.386000, Z: -0.189000, Angle: 0 at time T: 6823786
Hedge 5: X: 0.806000, Y: -1.339000, Z: -0.168000, Angle: 0 at time T: 6823948
Hedge 5: X: 0.902000, Y: -1.151000, Z: -0.205000, Angle: 0 at time T: 6824122
Hedge 5: X: 0.900000, Y: -0.901000, Z: -0.272000, Angle: 0 at time T: 6824296
Hedge 5: X: 0.829000, Y: -0.662000, Z: -0.257000, Angle: 0 at time T: 6824472
