Hedge 5: X: -1.261000, Y: 0.929000, Z: -1.139000, Angle: 0 at time T: 8955298
Hedge 5: X: -1.259000, Y: 0.929000, Z: -1.138000, Angle: 0 at time T: 8955475
Hedge 5: X: -1.265000, Y: 0.931000, Z: -1.139000, Angle: 0 at time T: 8955651
Hedge 5: X: -1.266000, Y: 0.929000, Z: -1.138000, Angle: 0 at time T: 8955823
Hedge 5: X: -1.264000, Y: 0.926000, Z: -1.141000, Angle: 0 at time T: 8956002
Hedge 5: X: -1.261000, Y: 0.926000, Z: -1.143000, Angle: 0 at time T: 8956177
Hedge 5: X: -1.264000, Y: 0.927000, Z: -1.139000, Angle: 0 at time T: 8956350
Hedge 5: X: -1.262000, Y: 0.933000, Z: -1.138000, Angle: 0 at time T: 8956524
Hedge 5: X: -1.263000, Y: 0.930000, Z: -1.138000, Angle: 0 at time T: 8956687
Hedge 5: X: -1.256000, Y: 0.931000, Z: -1.137000, Angle: 0 at time T: 8956850
Hedge 5: X: -1.259000, Y: 0.929000, Z: -1.137000, Angle: 0 at time T: 8957018
Hedge 5: X: -1.264000, Y: 0.929000, Z: -1.137000, Angle: 0 at time T: 8957183
Hedge 5: X: -1.260000, Y: 0.927000, Z: -1.142000, Angle: 0 at time T: 8957357
Hedge 5: X: -1.259000, Y: 0.927000, Z: -1.141000, Angle: 0 at time T: 8957533
Hedge 5: X: -1.262000, Y: 0.927000, Z: -1.139000, Angle: 0 at time T: 8957708
Hedge 5: X: -1.261000, Y: 0.926000, Z: -1.141000, Angle: 0 at time T: 8957885
Hedge 5: X: -1.267000, Y: 0.925000, Z: -1.144000, Angle: 0 at time T: 8958068
Hedge 5: X: -1.265000, Y: 0.925000, Z: -1.144000, Angle: 0 at time T: 8958244
Hedge 5: X: -1.265000, Y: 0.925000, Z: -1.143000, Angle: 0 at time T: 8958417
Hedge 5: X: -1.265000, Y: 0.928000, Z: -1.141000, Angle: 0 at time T: 8958592
Hedge 5: X: -1.263000, Y: 0.927000, Z: -1.141000, Angle: 0 at time T: 8958769
Hedge 5: X: -1.265000, Y: 0.925000, Z: -1.143000, Angle: 0 at time T: 8958944
Hedge 5: X: -1.264000, Y: 0.927000, Z: -1.143000, Angle: 0 at time T: 8959126
Hedge 5: X: -1.263000, Y: 0.926000, Z: -1.141000, Angle: 0 at time T: 8959300
Hedge 5: X: -1.263000, Y: 0.927000, Z: -1.141000, Angle: 0 at time T: 8959475
Hedge 5: X: -1.265000, Y: 0.926000, Z: -1.143000, Angle: 0 at time T: 8959649
Hedge 5: X: -1.264000, Y: 0.928000, Z: -1.141000, Angle: 0 at time T: 8959822
Hedge 5: X: -1.260000, Y: 0.926000, Z: -1.142000, Angle: 0 at time T: 8959985
Hedge 5: X: -1.259000, Y: 0.925000, Z: -1.141000, Angle: 0 at time T: 8960154
Hedge 5: X: -1.259000, Y: 0.926000, Z: -1.141000, Angle: 0 at time T: 8960317
Hedge 5: X: -1.260000, Y: 0.927000, Z: -1.140000, Angle: 0 at time T: 8960482
Hedge 5: X: -1.263000, Y: 0.928000, Z: -1.141000, Angle: 0 at time T: 8960656
Hedge 5: X: -1.261000, Y: 0.927000, Z: -1.141000, Angle: 0 at time T: 8960832
