x,y,z,yaw
-9.774502275,-9.557927481,7.450001097,-92.1893813
-9.774502275,-9.557927481,7.450001097,-75.65747679
-9.774502275,-9.557927481,7.450001097,-68.93990717
-9.586506638,-9.485525962,7.450001097,-68.74420067
-9.275812296,-9.319821981,7.450001097,-52.92853872
-8.996710056,-9.101644073,7.450001097,-51.9182834
-8.71392339,-8.880056685,7.450001097,-51.9182834
-8.273129468,-8.534657184,7.450001097,-51.9182834
-7.67076273,-7.977944267,7.450001097,-37.38525574
-7.211365717,-7.295345687,7.450001097,-32.9549015
-6.855713241,-6.558026191,7.450001097,-16.12109726
-6.617439117,-5.733645534,7.450001097,-16.12109726
-6.26599004,-4.567483531,7.450001097,-18.2506749
-5.818975952,-3.395511094,7.450001097,-24.23025116
-5.229539877,-2.289167492,7.450001097,-28.4929293
-4.246724299,-1.246586791,7.450001097,-10.86851889
-4.271216753,-0.266555144,7.450001097,30.76083945
-4.271216753,-0.266555144,7.450001097,55.09887006
-4.271216753,-0.266555144,7.450001097,89.95605312
-4.271216753,-0.266555144,7.450001097,124.9414825
-4.271216753,-0.266555144,7.450001097,159.8264816
-4.271216753,-0.266555144,7.450001097,194.9705318
-4.271216753,-0.266555144,7.450001097,210.7859643
-4.271216753,-0.266555144,7.450001097,237.2579442
-4.226378896,-0.978051814,7.450001097,245.4821114
-4.621168442,-2.152265945,7.450001097,245.4821114
-5.16195131,-3.283578496,7.450001097,243.7581676
-4.44628577,-4.905926296,7.450001097,254.4060553
-3.249516761,-5.28056543,7.450001097,258.3451136
-2.009849711,-5.470182374,7.450001097,263.1249538
-0.759176198,-5.562012577,7.450001097,267.48841
0.494771372,-5.575180526,7.450001097,271.1393276
1.747079547,-5.506907137,7.450001097,275.2688333
2.995852242,-5.389896504,7.450001097,275.3702418
4.244702302,-5.272499806,7.450001097,275.3702418
5.497279213,-5.212882389,7.450001097,271.6412896
6.811887514,-5.179745652,7.450001097,271.418722
8.005253781,-5.154904348,7.450001097,270.6074546
9.260070783,-5.157437465,7.450001097,268.7949757
10.51356055,-5.188433853,7.450001097,268.5774838
11.79103213,-5.22026321,7.450001097,268.280843
13.01916221,-5.297259347,7.450001097,263.4057583
14.26910299,-5.387046361,7.450001097,268.2732584
15.52284436,-5.423561329,7.450001097,268.4760753
16.77684513,-5.451138187,7.450001097,268.7803007
18.03106712,-5.477841809,7.450001097,268.7803007
19.28495697,-5.504538359,7.450001097,268.7803007
20.53921656,-5.531242781,7.450001097,268.7803007
20.66860257,-5.533997536,7.450001097,240.041046
20.66860257,-5.533997536,7.450001097,179.5843627
20.63590741,-5.824864008,7.450001097,173.5866215
20.4956322,-7.072815018,7.450001097,173.5866215
20.36510484,-8.234044884,7.450001097,173.5866215
20.21557892,-9.564294395,7.450001097,173.5866215
20.07547666,-10.81070682,7.450001097,173.5866215
19.87835486,-12.04997602,7.450001097,167.9771538
19.53873629,-13.23375613,7.450001097,161.5190148
19.14113206,-14.42338181,7.450001097,161.5190148
18.74351591,-15.61304316,7.450001097,161.5190148
18.34570961,-16.80254122,7.450001097,161.034978
17.87861171,-17.96618806,7.450001097,154.6820183
17.21162572,-19.02254244,7.450001097,138.8884325
16.30673546,-19.88920441,7.450001097,130.5844111
15.31148424,-20.65229755,7.450001097,126.9299481
14.26036226,-21.33597525,7.450001097,121.5389223
13.29750781,-22.16770774,7.450001097,121.1332884
12.2230053,-22.81674084,7.450001097,121.1332884
11.13668352,-23.44078037,7.450001097,115.9361389
9.924880618,-23.81935767,7.450001097,100.6449909
8.627161363,-24.39947059,7.450001097,79.8770788
7.628093315,-25.04441621,7.450001097,74.61752105
7.628093315,-25.04441621,7.450001097,74.61752105
