frame_num,id,d2x,d2y,rx,ry,heading
0,V15,1553,577,169277,62893,N
0,V14,1281,520,139629,56680,N
0,V13,1120,537,122080,58533,N
0,V12,937,558,102133,60822,N
0,V11,1422,498,154998,54282,N
0,V10,1292,432,140828,47088,N
0,V9,735,563,80115,61367,N
0,V8,1197,464,130473,50576,N
0,V7,761,217,82949,23653,S
0,V6,1058,472,115322,51448,N
0,V5,736,370,80224,40330,S
0,V4,732,424,79788,46216,N
0,V3,1152,231,125568,25179,S
0,V2,834,362,90906,39458,S
0,V1,866,253,94394,27577,S
1,V19,819,234,89271,25506,S
1,V18,1622,912,176798,99408,N
1,V17,1094,387,119246,42183,S
1,V16,737,482,80333,52538,N
1,V15,1552,575,169168,62675,N
1,V14,1281,521,139629,56789,N
1,V13,1118,537,121862,58533,N
1,V12,935,563,101915,61367,N
1,V11,1422,500,154998,54500,N
1,V10,1293,430,140937,46870,N
1,V9,736,561,80224,61149,N
1,V8,1198,464,130582,50576,N
1,V7,758,222,82622,24198,S
1,V6,1055,471,114995,51339,N
1,V5,734,369,80006,40221,S
1,V4,732,424,79788,46216,N
1,V2,833,361,90797,39349,S
1,V1,880,253,95920,27577,S
2,V15,1553,577,169277,62893,N
2,V14,1280,520,139520,56680,N
2,V13,1117,537,121753,58533,N
2,V12,935,563,101915,61367,N
2,V11,1421,500,154889,54500,N
2,V10,1295,431,141155,46979,N
2,V9,735,562,80115,61258,N
2,V8,1199,463,130691,50467,N
2,V7,760,229,82840,24961,S
2,V6,1056,471,115104,51339,N
2,V5,737,369,80333,40221,S
2,V4,732,424,79788,46216,N
2,V2,832,361,90688,39349,S
3,V17,1096,386,119464,42074,S
3,V15,1554,576,169386,62784,N
3,V14,1281,520,139629,56680,N
3,V13,1117,537,121753,58533,N
3,V12,936,563,102024,61367,N
3,V11,1421,499,154889,54391,N
3,V10,1296,432,141264,47088,N
3,V9,736,561,80224,61149,N
3,V8,1199,463,130691,50467,N
3,V7,762,234,83058,25506,S
3,V6,1057,472,115213,51448,N
3,V5,738,369,80442,40221,S
3,V4,732,424,79788,46216,N
