frame_num,id,d2x,d2y,rx,ry,heading
0,V15,1268,482,139480,53020,
0,V14,392,469,43120,51590,
0,V13,1581,497,173910,54670,
0,V12,1447,447,159170,49170,
0,V11,1061,492,116710,54120,
0,V10,603,472,66330,51920,
0,V9,829,476,91190,52360,
0,V8,1459,459,160490,50490,
0,V7,980,389,107800,42790,
0,V6,822,404,90420,44440,
0,V5,949,322,104390,35420,
0,V4,953,337,104830,37070,
0,V3,1381,409,151910,44990,
0,V2,1005,429,110550,47190,
0,V1,801,322,88110,35420,
1,V19,1205,426,132550,46860,
1,V18,402,449,44220,49390,
1,V17,1269,504,139590,55440,
1,V16,1198,431,131780,47410,
1,V15,1272,482,139920,53020,
1,V14,391,466,43010,51260,
1,V13,1579,496,173690,54560,
1,V12,1447,446,159170,49060,
1,V11,1055,497,116050,54670,
1,V10,603,470,66330,51700,
1,V9,829,481,91190,52910,
1,V8,1459,459,160490,50490,
1,V7,982,392,108020,43120,
1,V6,821,403,90310,44330,
1,V5,943,301,103730,33110,
1,V4,952,339,104720,37290,
1,V3,1381,409,151910,44990,
2,V15,1269,477,139590,52470,
2,V14,390,467,42900,51370,
2,V13,1581,496,173910,54560,
2,V12,1446,446,159060,49060,
2,V11,1054,497,115940,54670,
2,V10,602,470,66220,51700,
2,V9,829,478,91190,52580,
2,V7,981,392,107910,43120,
2,V6,821,403,90310,44330,
2,V3,1383,409,152130,44990,
3,V16,1202,434,132220,47740,
3,V15,1264,476,139040,52360,
3,V14,392,467,43120,51370,
3,V13,1581,495,173910,54450,
3,V12,1446,445,159060,48950,
3,V11,1055,497,116050,54670,
3,V10,602,470,66220,51700,
3,V9,829,476,91190,52360,
3,V7,979,387,107690,42570,
3,V6,822,403,90420,44330,
4,V16,1201,433,132110,47630,
4,V15,1255,477,138050,52470,
4,V14,391,467,43010,51370,
4,V13,1582,496,174020,54560,
4,V12,1444,445,158840,48950,
4,V11,1055,497,116050,54670,
4,V10,602,472,66220,51920,
4,V9,829,476,91190,52360,
4,V8,1457,459,160270,50490,
4,V7,979,386,107690,42460,
4,V6,822,403,90420,44330,
5,V20,947,320,104170,35200,
5,V16,1199,433,131890,47630,
5,V15,1265,478,139150,52580,
5,V14,390,466,42900,51260,
5,V13,1582,496,174020,54560,
5,V12,1445,445,158950,48950,
5,V11,1056,497,116160,54670,
5,V10,603,471,66330,51810,
5,V9,829,476,91190,52360,
5,V7,979,386,107690,42460,
5,V1,801,321,88110,35310,
6,V20,948,320,104280,35200,
6,V18,403,450,44330,49500,
6,V16,1199,433,131890,47630,
6,V15,1266,477,139260,52470,
6,V14,391,466,43010,51260,
6,V13,1582,496,174020,54560,
6,V12,1448,444,159280,48840,
6,V11,1057,497,116270,54670,
6,V10,602,471,66220,51810,
6,V9,829,475,91190,52250,
6,V7,978,386,107580,42460,
7,V20,948,321,104280,35310,
7,V18,402,449,44220,49390,
7,V16,1201,433,132110,47630,
7,V15,1260,477,138600,52470,
7,V14,391,466,43010,51260,
7,V13,1582,495,174020,54450,
7,V12,1448,443,159280,48730,
7,V11,1056,497,116160,54670,
7,V10,603,471,66330,51810,
7,V9,829,476,91190,52360,
7,V7,980,387,107800,42570,
8,V20,949,321,104390,35310,
8,V16,1201,431,132110,47410,
8,V15,1258,479,138380,52690,
8,V14,390,467,42900,51370,
8,V13,1583,495,174130,54450,
8,V12,1445,445,158950,48950,
8,V11,1056,495,116160,54450,
8,V10,602,470,66220,51700,
8,V9,828,480,91080,52800,
8,V8,1458,459,160380,50490,
8,V7,981,390,107910,42900,
8,V6,822,404,90420,44440,
9,V21,822,420,90420,46200,
9,V20,949,320,104390,35200,
9,V17,1265,504,139150,55440,
9,V15,1257,479,138270,52690,
9,V14,392,466,43120,51260,
9,V13,1582,496,174020,54560,
9,V12,1444,446,158840,49060,
9,V11,1056,495,116160,54450,
9,V10,602,469,66220,51590,
9,V9,829,478,91190,52580,
9,V8,1459,460,160490,50600,
9,V7,979,389,107690,42790,
9,V6,823,405,90530,44550,
9,V3,1381,410,151910,45100,
10,V21,822,419,90420,46090,
10,V20,949,320,104390,35200,
10,V18,401,449,44110,49390,
10,V15,1258,478,138380,52580,
10,V14,392,466,43120,51260,
10,V13,1586,494,174460,54340,
10,V12,1444,447,158840,49170,
10,V11,1058,496,116380,54560,
10,V10,602,469,66220,51590,
10,V9,828,481,91080,52910,
10,V8,1458,460,160380,50600,
10,V7,980,389,107800,42790,
10,V6,823,404,90530,44440,
10,V3,1381,410,151910,45100,
11,V20,949,320,104390,35200,
11,V15,1255,479,138050,52690,
11,V14,391,467,43010,51370,
11,V13,1585,493,174350,54230,
11,V12,1443,447,158730,49170,
11,V11,1058,497,116380,54670,
11,V10,602,473,66220,52030,
11,V9,828,482,91080,53020,
11,V7,979,388,107690,42680,
11,V6,822,403,90420,44330,
11,V3,1380,410,151800,45100,
12,V15,1256,479,138160,52690,
12,V14,391,466,43010,51260,
12,V13,1585,493,174350,54230,
12,V12,1443,446,158730,49060,
12,V11,1057,495,116270,54450,
