frame_num,id,d2x,d2y,rx,ry,heading
0,V10,731,492,4386,2952,
0,V9,920,557,5520,3342,
0,V8,597,551,3582,3306,
0,V7,459,371,2754,2226,
0,V6,696,350,4176,2100,
0,V5,617,321,3702,1926,
0,V4,708,298,4248,1788,
0,V3,548,295,3288,1770,
0,V2,597,284,3582,1704,
0,V1,357,281,2142,1686,
1,V11,846,663,5076,3978,
1,V10,722,479,4332,2874,
1,V9,908,540,5448,3240,
1,V8,603,570,3618,3420,
1,V7,459,380,2754,2280,
1,V5,617,320,3702,1920,
1,V4,707,296,4242,1776,
1,V3,549,294,3294,1764,
1,V2,597,282,3582,1692,
1,V1,354,281,2124,1686,
