14 car [455, 559]
13 car [914, 661]
12 car [392, 428]
11 car [64, 551]
10 car [603, 464]
9 car [556, 412]
8 car [326, 362]
7 car [424, 375]
6 car [1070, 287]
5 car [448, 299]
4 car [627, 271]
3 car [767, 244]
2 car [526, 298]
1 car [388, 324]
0 frame changed

17 car [1228, 338]
16 car [998, 285]
15 car [370, 335]
14 car [489, 608]
12 car [394, 445]
11 car [43, 607]
10 car [638, 485]
9 car [571, 430]
8 car [302, 371]
7 car [406, 377]
6 car [1051, 282]
3 car [769, 253]
1 car [373, 327]
0 frame changed

14 car [515, 657]
12 car [404, 464]
10 car [684, 516]
9 car [601, 450]
8 car [282, 381]
7 car [398, 385]
6 car [1034, 273]
3 car [771, 254]
0 frame changed

17 car [1163, 321]
15 car [342, 348]
12 car [414, 487]
10 car [738, 551]
9 car [634, 469]
8 car [262, 395]
6 car [1016, 268]
5 car [426, 313]
3 car [773, 255]
2 car [505, 311]
0 frame changed

17 car [1134, 310]
15 car [319, 363]
12 car [433, 515]
10 car [803, 601]
9 car [680, 494]
8 car [244, 408]
6 car [1004, 266]
5 car [414, 317]
4 car [613, 295]
3 car [777, 258]
2 car [495, 316]
0 frame changed

19 car [613, 309]
17 car [1108, 299]
15 car [296, 376]
12 car [448, 548]
9 car [730, 523]
8 car [227, 424]
6 car [992, 264]
5 car [404, 322]
4 car [611, 299]
2 car [485, 323]
0 frame changed

20 car [783, 268]
17 car [1086, 294]
12 car [476, 594]
9 car [786, 565]
8 car [212, 440]
5 car [392, 331]
2 car [471, 331]
0 frame changed

24 car [427, 494]
22 car [506, 313]
20 car [788, 270]
17 car [1066, 285]
12 car [506, 642]
8 car [200, 460]
5 car [375, 337]
2 car [460, 340]
0 frame changed

29 car [127, 630]
26 car [978, 224]
25 car [403, 319]
24 car [442, 525]
22 car [496, 323]
20 car [791, 275]
17 car [1050, 280]
15 car [223, 411]
12 car [537, 679]
8 car [191, 482]
6 car [958, 251]
5 car [361, 344]
2 car [447, 348]
0 frame changed

30 car [1148, 285]
29 car [111, 654]
26 car [966, 222]
25 car [392, 324]
24 car [461, 564]
22 car [487, 331]
20 car [796, 280]
17 car [1033, 271]
15 car [197, 429]
8 car [182, 508]
5 car [342, 353]
2 car [435, 360]
0 frame changed

33 car [1071, 316]
32 car [1211, 382]
30 car [1130, 282]
24 car [483, 610]
22 car [476, 338]
20 car [799, 285]
17 car [1015, 266]
15 car [167, 444]
8 car [171, 542]
5 car [321, 366]
2 car [422, 371]
0 frame changed

24 car [503, 646]
22 car [465, 345]
20 car [801, 289]
15 car [143, 468]
8 car [154, 588]
5 car [296, 378]
2 car [411, 382]
0 frame changed

25 car [349, 349]
22 car [450, 355]
15 car [119, 493]
8 car [142, 635]
2 car [396, 394]
0 frame changed

28 car [1131, 345]
22 car [439, 365]
15 car [96, 524]
8 car [124, 672]
2 car [389, 405]
0 frame changed

28 car [1111, 337]
22 car [425, 376]
20 car [815, 313]
15 car [72, 565]
5 car [213, 421]
2 car [385, 410]
0 frame changed

43 car [496, 322]
42 car [448, 355]
41 car [422, 309]
39 car [657, 242]
38 car [351, 349]
36 car [853, 229]
28 car [1091, 328]
25 car [286, 389]
20 car [823, 319]
15 car [51, 618]
5 car [188, 438]
0 frame changed

45 car [398, 459]
43 car [485, 329]
42 car [433, 366]
41 car [413, 313]
39 car [655, 242]
38 car [330, 364]
36 car [848, 227]
28 car [1067, 323]
25 car [269, 400]
20 car [828, 325]
5 car [165, 453]
0 frame changed

50 car [1102, 337]
49 car [1174, 321]
45 car [417, 482]
43 car [473, 336]
42 car [420, 377]
41 car [399, 322]
39 car [654, 244]
38 car [313, 374]
36 car [843, 225]
35 car [963, 273]
28 car [1048, 319]
25 car [250, 414]
22 car [392, 405]
20 car [836, 331]
5 car [143, 475]
0 frame changed

52 car [509, 312]
50 car [1080, 323]
49 car [1152, 310]
45 car [437, 516]
42 car [404, 390]
41 car [385, 328]
40 car [576, 269]
38 car [292, 386]
28 car [1030, 310]
25 car [239, 433]
22 car [384, 426]
5 car [119, 494]
0 frame changed

56 car [1120, 348]
55 car [649, 254]
52 car [498, 322]
45 car [460, 550]
42 car [391, 395]
41 car [371, 335]
38 car [269, 398]
28 car [1014, 302]
25 car [230, 442]
22 car [392, 442]
5 car [93, 521]
2 car [390, 454]
0 frame changed

56 car [1096, 338]
55 car [646, 255]
52 car [490, 325]
45 car [485, 598]
43 car [430, 364]
42 car [380, 407]
41 car [354, 341]
38 car [244, 407]
28 car [999, 295]
25 car [220, 462]
22 car [380, 433]
5 car [67, 562]
2 car [402, 472]
0 frame changed

56 car [1075, 325]
55 car [645, 257]
53 car [703, 224]
52 car [480, 331]
45 car [512, 636]
43 car [416, 375]
41 car [337, 350]
38 car [221, 422]
25 car [209, 482]
22 car [377, 440]
5 car [48, 607]
2 car [421, 493]
0 frame changed

60 car [507, 309]
56 car [1054, 319]
55 car [644, 264]
53 car [705, 226]
52 car [471, 339]
45 car [539, 674]
43 car [400, 386]
41 car [318, 360]
38 car [194, 442]
25 car [200, 513]
22 car [383, 456]
20 car [871, 374]
5 car [31, 645]
2 car [438, 524]
0 frame changed

66 car [540, 295]
65 car [1182, 324]
63 car [604, 244]
60 car [497, 315]
56 car [1037, 312]
55 car [641, 265]
53 car [708, 225]
52 car [459, 349]
50 car [996, 285]
49 car [1060, 281]
47 car [1126, 297]
43 car [385, 399]
41 car [295, 373]
38 car [167, 465]
25 car [193, 551]
22 car [401, 475]
20 car [874, 380]
2 car [467, 563]
0 frame changed

70 car [1071, 333]
66 car [532, 298]
65 car [1159, 319]
63 car [601, 245]
60 car [489, 322]
56 car [1021, 305]
55 car [640, 268]
53 car [714, 226]
52 car [449, 359]
50 car [983, 279]
43 car [374, 414]
41 car [276, 384]
38 car [140, 493]
25 car [186, 609]
22 car [425, 502]
20 car [879, 386]
2 car [497, 615]
0 frame changed

70 car [1052, 321]
65 car [1137, 313]
63 car [597, 244]
60 car [478, 327]
56 car [1006, 297]
53 car [720, 226]
52 car [438, 371]
43 car [372, 433]
41 car [253, 398]
38 car [106, 528]
25 car [171, 651]
22 car [454, 537]
20 car [885, 395]
2 car [534, 655]
0 frame changed

71 car [514, 313]
70 car [1033, 311]
65 car [1117, 308]
60 car [467, 336]
53 car [724, 227]
46 car [622, 227]
43 car [375, 451]
38 car [83, 569]
22 car [489, 576]
20 car [887, 401]
0 frame changed

77 car [593, 253]
71 car [502, 314]
70 car [1017, 305]
66 car [501, 323]
65 car [1099, 301]
60 car [452, 345]
54 car [1061, 281]
53 car [727, 227]
46 car [620, 227]
43 car [383, 472]
38 car [62, 622]
20 car [888, 406]
0 frame changed

77 car [587, 256]
70 car [1003, 298]
66 car [492, 327]
65 car [1084, 295]
59 car [1118, 343]
53 car [731, 227]
52 car [420, 399]
46 car [618, 227]
43 car [408, 496]
41 car [194, 440]
20 car [889, 408]
2 car [567, 676]
0 frame changed

80 car [1159, 321]
77 car [584, 257]
70 car [987, 293]
66 car [478, 335]
55 car [624, 288]
52 car [419, 421]
43 car [430, 528]
20 car [894, 407]
0 frame changed

80 car [1134, 312]
77 car [579, 258]
70 car [973, 286]
66 car [467, 341]
60 car [404, 376]
55 car [619, 294]
52 car [430, 444]
20 car [893, 408]
0 frame changed

82 car [355, 353]
