,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,33.67,31.07,28.41,25.97,22.17,40.27,32.29,30.81,29.23,28.11,25.41,26.02,23.8,28.92,30.73,23.8,30.0,34.56,22.89,31.18,25.43,29.68,29.18,35.8,26.07,21.42,24.76,31.67,35.23,24.39,18.86,19.33,31.0,29.35,34.57,34.99,29.52,32.75,19.0,36.6,35.97,28.66,22.53,28.45,51.0,32.0,32.01,33.27,27.58,26.51,32.38,38.8,30.69,28.02,21.2,23.12,35.32,34.99,29.18,48.04,53.85
1,28.69,29.7,34.03,28.76,23.33,39.44,33.17,37.53,31.06,25.28,26.24,27.84,26.79,25.17,36.0,24.26,29.0,33.47,22.73,34.17,21.0,30.49,33.02,28.0,33.51,23.13,18.4,32.35,36.76,21.79,20.27,19.01,25.78,25.12,37.61,28.68,25.34,38.22,19.0,37.55,31.34,30.9,26.12,29.91,31.72,33.39,29.28,26.9,29.61,24.72,34.62,40.88,29.31,57.0,29.0,30.0,37.74,28.68,33.02,53.290000000000006,48.95
2,30.12,37.98,26.54,29.22,22.18,46.08,32.24,28.24,36.48,27.98,23.67,28.64,25.14,28.37,28.0,26.97,32.71,31.32,27.07,36.25,50.0,29.84,27.73,38.87,32.25,21.86,14.8,41.02,27.81,21.79,19.16,23.79,24.41,25.93,38.86,27.67,26.28,28.66,29.97,34.74,32.12,30.04,21.57,28.36,30.15,34.78,30.53,33.46,23.16,23.89,33.72,35.46,29.43,24.44,25.56,18.0,30.36,27.67,27.73,46.89,46.83
3,30.24,32.1,28.3,25.8,23.18,43.15,30.75,31.69,32.06,26.44,28.05,28.2,25.19,24.72,35.31,24.71,31.9,33.33,24.72,32.38,50.0,28.21,33.15,40.19,33.16,15.5,26.98,39.41,27.94,22.83,20.33,22.27,26.42,29.7,31.22,29.92,23.0,28.53,24.0,42.94,34.64,30.5,22.37,29.83,31.39,40.23,30.58,28.85,24.86,22.42,35.32,41.35,28.05,30.66,27.8,30.4,32.45,29.92,33.15,53.48,50.25
4,29.8,28.99,28.84,26.52,20.32,40.63,30.33,34.11,34.17,27.72,27.22,25.68,24.63,28.67,33.67,26.37,37.37,29.2,20.86,35.08,32.48,33.93,27.67,37.91,29.8,22.92,26.98,26.77,28.67,20.61,18.64,19.48,22.14,25.5,37.58,25.77,34.71,32.7,27.59,42.71,36.01,30.27,22.56,30.57,39.5,32.95,26.07,32.16,27.59,26.06,32.55,48.0,31.13,26.07,24.17,22.47,36.68,25.77,27.67,46.31,44.41
5,27.93,29.78,28.38,28.57,24.97,43.27,32.54,34.65,34.17,22.81,26.45,22.06,26.85,26.82,33.67,25.25,30.72,28.68,21.87,33.34,23.6,29.92,28.03,36.14,45.33,21.29,27.69,34.41,26.4,21.34,17.74,20.34,26.57,26.42,36.16,29.22,30.13,32.66,29.09,42.64,29.23,29.78,30.69,28.94,44.0,32.15,37.15,29.41,26.01,23.52,34.54,37.86,28.69,32.97,27.49,20.0,38.89,29.22,28.03,45.769999999999996,46.959999999999994
6,30.44,32.71,29.0,27.66,18.28,37.07,30.04,28.62,39.06,28.18,26.27,24.98,25.85,26.51,33.67,25.9,30.07,35.25,21.16,27.4,18.0,26.22,26.36,41.11,27.03,24.31,22.62,29.66,26.78,20.95,18.75,21.35,28.0,22.94,38.07,27.03,25.41,33.95,27.18,40.17,35.57,30.5,22.35,32.22,35.5,34.46,29.85,34.39,27.82,27.01,33.74,40.12,26.03,31.87,26.34,28.61,31.25,27.03,26.36,45.11,45.78
7,23.35,27.38,26.25,24.53,23.19,41.38,32.75,37.5,33.45,25.73,29.62,25.29,26.02,27.39,43.67,26.4,25.5,32.5,19.86,34.48,38.09,29.26,30.3,34.56,26.68,18.81,31.99,33.13,29.68,22.63,22.89,22.19,24.52,25.44,34.91,26.47,31.4,30.77,33.0,41.75,36.37,30.86,21.92,29.2,35.5,31.63,29.28,25.78,32.11,24.87,37.36,41.33,29.25,25.78,24.21,28.87,30.23,26.47,30.3,53.19,49.36
8,34.98,25.73,31.36,31.81,29.11,37.16,30.48,31.97,34.68,25.99,26.29,24.21,26.03,25.44,31.0,30.0,30.0,28.91,21.11,36.12,28.78,31.63,28.31,40.35,27.61,20.07,23.01,33.19,26.71,23.53,17.93,23.34,26.73,24.7,34.77,32.71,28.2,33.28,34.0,38.99,30.75,28.64,22.05,29.94,35.5,30.94,30.2,30.77,28.15,26.45,32.2,37.59,32.0,26.97,25.55,38.0,31.17,32.71,28.31,46.239999999999995,50.64
9,28.06,29.45,27.71,27.03,20.25,44.45,27.99,29.81,39.04,26.34,25.93,22.51,24.74,26.0,43.0,31.0,34.52,29.18,24.19,32.95,27.81,29.59,26.25,37.11,30.04,24.56,26.67,31.12,26.16,19.95,19.78,23.88,28.6,23.58,39.01,29.61,32.0,32.47,34.0,44.03,28.94,30.49,31.93,29.56,36.0,39.14,26.08,30.7,26.19,23.4,34.54,42.45,24.0,29.25,24.12,27.72,30.56,29.61,26.25,46.03,49.39
