from,to,cost
1220025100,1220027900,776
1220025100,1220025000,776
1220025100,1220027300,776
1220023400,1220027900,776
1220023400,1220025000,776
1220023400,1220027300,776
1220023400,1220025100,10
1220023400,1220023400,0
1220027900,1220030700,785
1220027900,1220027800,785
1220027900,1210027600,785
1220027900,1220030500,785
1220025000,1220030700,785
1220025000,1220027800,785
1220025000,1210027600,785
1220025000,1220030500,785
1220027300,1220030700,785
1220027300,1220027800,785
1220027300,1210027600,785
1220027300,1220030500,785
1220027300,1220027900,10
1220027300,1220025000,10
1220027300,1220027300,0
1220030700,1210030100,579
1220030700,1220030600,579
1220030700,1220032700,579
1220027800,1210030100,579
1220027800,1220030600,579
1220027800,1220032700,579
1210027600,1210030100,579
1210027600,1220030600,579
1210027600,1220032700,579
1220030500,1210030100,579
1220030500,1220030600,579
1220030500,1220032700,579
1220030500,1220030700,10
1220030500,1220027800,10
1220030500,1210027600,10
1220030500,1220030500,0
1210030100,1210030000,650
1220030600,1210030000,650
1220032700,1210030000,650
1220032700,1210030100,10
1220032700,1220030600,10
1220032700,1220032700,0
1210030000,1210030100,557
1210030000,1220030600,557
1210030000,1220032700,557
1210030000,1210030000,0
1210030100,1220030700,581
1210030100,1220027800,581
1210030100,1210027600,581
1210030100,1220030500,581
1220030600,1220030700,581
1220030600,1220027800,581
1220030600,1210027600,581
1220030600,1220030500,581
1220032700,1220030700,581
1220032700,1220027800,581
1220032700,1210027600,581
1220032700,1220030500,581
1220030700,1220027900,785
1220030700,1220025000,785
1220030700,1220027300,785
1220027800,1220027900,785
1220027800,1220025000,785
1220027800,1220027300,785
1210027600,1220027900,785
1210027600,1220025000,785
1210027600,1220027300,785
1220030500,1220027900,785
1220030500,1220025000,785
1220030500,1220027300,785
1220027900,1220025100,776
1220027900,1220023400,776
1220025000,1220025100,776
1220025000,1220023400,776
1220027300,1220025100,776
1220027300,1220023400,776
1220034400,1220032200,833
1220034400,1220034500,833
1220034400,1220032600,833
1220034400,1220033700,833
1220035000,1220032200,833
1220035000,1220034500,833
1220035000,1220032600,833
1220035000,1220033700,833
1220036100,1220032200,833
1220036100,1220034500,833
1220036100,1220032600,833
1220036100,1220033700,833
1220036100,1220034400,10
1220036100,1220035000,10
1220036100,1220036100,0
1220032200,1220029600,677
1220032200,1220032300,677
1220032200,1220030400,677
1220032200,1220031300,677
1220034500,1220029600,677
1220034500,1220032300,677
1220034500,1220030400,677
1220034500,1220031300,677
1220032600,1220029600,677
1220032600,1220032300,677
1220032600,1220030400,677
1220032600,1220031300,677
1220033700,1220029600,677
1220033700,1220032300,677
1220033700,1220030400,677
1220033700,1220031300,677
1220033700,1220032200,10
1220033700,1220034500,10
1220033700,1220032600,10
1220033700,1220033700,0
1220029600,1220026200,792
1220029600,1220029700,792
1220029600,1220027200,792
1220029600,1220028300,792
1220032300,1220026200,792
1220032300,1220029700,792
1220032300,1220027200,792
1220032300,1220028300,792
1220030400,1220026200,792
1220030400,1220029700,792
1220030400,1220027200,792
1220030400,1220028300,792
1220031300,1220026200,792
1220031300,1220029700,792
1220031300,1220027200,792
1220031300,1220028300,792
1220031300,1220029600,10
1220031300,1220032300,10
1220031300,1220030400,10
1220031300,1220031300,0
1220026200,1220026300,768
1220026200,1220024000,768
1220026200,1220025300,768
1220029700,1220026300,768
1220029700,1220024000,768
1220029700,1220025300,768
1220027200,1220026300,768
1220027200,1220024000,768
1220027200,1220025300,768
1220028300,1220026300,768
1220028300,1220024000,768
1220028300,1220025300,768
1220028300,1220026200,10
1220028300,1220029700,10
1220028300,1220027200,10
1220028300,1220028300,0
1220026300,1220026200,768
1220026300,1220029700,768
1220026300,1220027200,768
1220026300,1220028300,768
1220024000,1220026200,768
1220024000,1220029700,768
1220024000,1220027200,768
1220024000,1220028300,768
1220025300,1220026200,768
1220025300,1220029700,768
1220025300,1220027200,768
1220025300,1220028300,768
1220025300,1220026300,10
1220025300,1220024000,10
1220025300,1220025300,0
1220026200,1220029600,792
1220026200,1220032300,792
1220026200,1220030400,792
1220026200,1220031300,792
1220029700,1220029600,792
1220029700,1220032300,792
1220029700,1220030400,792
1220029700,1220031300,792
1220027200,1220029600,792
1220027200,1220032300,792
1220027200,1220030400,792
1220027200,1220031300,792
1220028300,1220029600,792
1220028300,1220032300,792
1220028300,1220030400,792
1220028300,1220031300,792
1220029600,1220032200,676
1220029600,1220034500,676
1220029600,1220032600,676
1220029600,1220033700,676
1220032300,1220032200,676
1220032300,1220034500,676
1220032300,1220032600,676
1220032300,1220033700,676
1220030400,1220032200,676
1220030400,1220034500,676
1220030400,1220032600,676
1220030400,1220033700,676
1220031300,1220032200,676
1220031300,1220034500,676
1220031300,1220032600,676
1220031300,1220033700,676
1220032200,1220034400,835
1220032200,1220035000,835
1220032200,1220036100,835
1220034500,1220034400,835
1220034500,1220035000,835
1220034500,1220036100,835
1220032600,1220034400,835
1220032600,1220035000,835
1220032600,1220036100,835
1220033700,1220034400,835
1220033700,1220035000,835
1220033700,1220036100,835
1220034600,1220034200,732
1220034600,1220034700,732
1220034600,1220033400,732
1220034000,1220034200,732
1220034000,1220034700,732
1220034000,1220033400,732
1220035900,1220034200,732
1220035900,1220034700,732
1220035900,1220033400,732
1220035900,1220034600,10
1220035900,1220034000,10
1220035900,1220035900,0
1220034200,1220033600,505
1220034200,1220034300,505
1220034200,1220033000,505
1220034200,1220035300,505
1220034700,1220033600,505
1220034700,1220034300,505
1220034700,1220033000,505
1220034700,1220035300,505
1220033400,1220033600,505
1220033400,1220034300,505
1220033400,1220033000,505
1220033400,1220035300,505
1220033400,1220034200,10
1220033400,1220034700,10
1220033400,1220033400,0
1220033600,1220032200,545
1220033600,1220034500,545
1220033600,1220032600,545
1220033600,1220033700,545
1220034300,1220032200,545
1220034300,1220034500,545
1220034300,1220032600,545
1220034300,1220033700,545
1220033000,1220032200,545
1220033000,1220034500,545
1220033000,1220032600,545
1220033000,1220033700,545
1220035300,1220032200,545
1220035300,1220034500,545
1220035300,1220032600,545
1220035300,1220033700,545
1220035300,1220033600,10
1220035300,1220034300,10
1220035300,1220033000,10
1220035300,1220035300,0
1220032200,1210030100,855
1220032200,1220030600,855
1220032200,1220032700,855
1220034500,1210030100,855
1220034500,1220030600,855
1220034500,1220032700,855
1220032600,1210030100,855
1220032600,1220030600,855
1220032600,1220032700,855
1220033700,1210030100,855
1220033700,1220030600,855
1220033700,1220032700,855
1210030100,1220032200,855
1210030100,1220034500,855
1210030100,1220032600,855
1210030100,1220033700,855
1220030600,1220032200,855
1220030600,1220034500,855
1220030600,1220032600,855
1220030600,1220033700,855
1220032700,1220032200,855
1220032700,1220034500,855
1220032700,1220032600,855
1220032700,1220033700,855
1220032200,1220033600,545
1220032200,1220034300,545
1220032200,1220033000,545
1220032200,1220035300,545
1220034500,1220033600,545
1220034500,1220034300,545
1220034500,1220033000,545
1220034500,1220035300,545
1220032600,1220033600,545
1220032600,1220034300,545
1220032600,1220033000,545
1220032600,1220035300,545
1220033700,1220033600,545
1220033700,1220034300,545
1220033700,1220033000,545
1220033700,1220035300,545
1220033600,1220034200,505
1220033600,1220034700,505
