from,to,cost
1080012200,1080012200,0
1080012200,1080012800,1132.300935
1080012200,1080012100,1132.300935
1080012200,1080011500,1132.300935
1080012800,1080012800,0
1080012800,1080012700,352.7941654
1080012800,1080013000,352.7941654
1080012800,1080011900,352.7941654
1080012800,1080012500,352.7941654
1080012800,1080012100,10
1080012800,1080012200,1132.300935
1080012800,1080011500,10
1080012800,1080010500,820.2591417
1080012800,1080010800,820.2591417
1080012800,1080009500,820.2591417
1080012800,1080011600,820.2591417
1080012700,1080012700,0
1080012700,1080012800,352.7941654
1080012700,1080012100,352.7941654
1080012700,1080011500,352.7941654
1080012700,1080013000,10
1080012700,1080013200,1063.145833
1080012700,1080012900,1063.145833
1080012700,1090008100,1063.145833
1080012700,1080011900,10
1080012700,1080010700,860.5704101
1080012700,1080011000,860.5704101
1080012700,1080012000,860.5704101
1080012700,1080010100,860.5704101
1080012700,1080012500,10
1080012700,1080010300,901.704227
1080012700,1080012400,901.704227
1080012700,1080010900,901.704227
1080012700,1080012600,901.704227
1080012700,1080011100,901.704227
1080012100,1080012800,10
1080012100,1080012700,352.7941654
1080012100,1080013000,352.7941654
1080012100,1080011900,352.7941654
1080012100,1080012500,352.7941654
1080012100,1080012100,0
1080012100,1080012200,1132.300935
1080012100,1080011500,10
1080012100,1080010500,820.2591417
1080012100,1080010800,820.2591417
1080012100,1080009500,820.2591417
1080012100,1080011600,820.2591417
1230024700,1230024700,0
1230024700,1230019500,845.0560079
1230024700,1230024800,845.0560079
1230024700,1230022200,845.0560079
1230024700,1230019900,845.0560079
1230024700,1230028200,10
1230024700,1230026700,480.9248923
1230024700,1230029400,480.9248923
1230024700,1230028100,480.9248923
1230024700,1230027100,10
1230024700,1230027200,217.5336083
1230024700,1230026100,217.5336083
1230019500,1230019500,0
1230019500,1230016300,415.2472055
1230019500,1230019600,415.2472055
1230019500,1230017300,415.2472055
1230019500,1230024800,10
1230019500,1230024700,845.0560079
1230019500,1230028200,845.0560079
1230019500,1230027100,845.0560079
1230019500,1230022200,10
1230019500,1230020700,485.6529075
1230019500,1230026800,485.6529075
1230019500,1230024400,485.6529075
1230019500,1230022100,485.6529075
1230019500,1230019900,10
1230019500,1230020000,440.2130987
1230019500,1230018700,440.2130987
1230016300,1230016300,0
1230016300,1230014100,469.7762825
1230016300,1230016400,469.7762825
1230016300,1230002700,469.7762825
1230016300,1230003000,469.7762825
1230016300,1230019600,10
1230016300,1230019500,415.2472055
1230016300,1230024800,415.2472055
1230016300,1230022200,415.2472055
1230016300,1230019900,415.2472055
1230016300,1230017300,10
1230016300,1230017400,332.9684269
1230016300,1230015100,332.9684269
1230014100,1230014100,0
1230014100,1230014200,1285.376991
1230014100,1230014600,1285.376991
1230014100,1230013200,1285.376991
1230014100,1230011300,1285.376991
1230014100,1230016400,10
1230014100,1230016300,469.7762825
1230014100,1230019600,469.7762825
1230014100,1230017300,469.7762825
1230014100,1230002700,10
1230014100,1230002500,587.6125088
1230014100,1230002800,587.6125088
1230014100,1230013400,587.6125088
1230014100,1230011500,587.6125088
1230014100,1230003000,10
1230014100,1230017100,446.1588968
1230014100,1230020800,446.1588968
1230014100,1230002900,446.1588968
1230014100,1230003200,446.1588968
1230014200,1230014200,0
1230014200,1230014100,1285.376991
1230014200,1230016400,1285.376991
1230014200,1230002700,1285.376991
1230014200,1230003000,1285.376991
1230014200,1230014600,10
1230014200,1230016600,542.1732802
1230014200,1230017200,542.1732802
1230014200,1230018200,542.1732802
1230014200,1230014500,542.1732802
1230014200,1230013200,10
1230014200,1230016200,1042.279005
1230014200,1220024400,1042.279005
1230014200,1230015400,1042.279005
1230014200,1230013100,1042.279005
1230014200,1230011300,10
1230014200,1230011400,290.1863272
1230016400,1230014100,10
1230016400,1230014200,1285.376991
1230016400,1230014600,1285.376991
1230016400,1230013200,1285.376991
1230016400,1230011300,1285.376991
1230016400,1230016400,0
1230016400,1230016300,469.7762825
1230016400,1230019600,469.7762825
1230016400,1230017300,469.7762825
1230016400,1230002700,10
1230016400,1230002500,587.6125088
1230016400,1230002800,587.6125088
1230016400,1230013400,587.6125088
1230016400,1230011500,587.6125088
1230016400,1230003000,10
1230016400,1230017100,446.1588968
1230016400,1230020800,446.1588968
1230016400,1230002900,446.1588968
1230016400,1230003200,446.1588968
1230019600,1230016300,10
1230019600,1230014100,469.7762825
1230019600,1230016400,469.7762825
1230019600,1230002700,469.7762825
1230019600,1230003000,469.7762825
1230019600,1230019600,0
1230019600,1230019500,415.2472055
1230019600,1230024800,415.2472055
1230019600,1230022200,415.2472055
1230019600,1230019900,415.2472055
1230019600,1230017300,10
1230019600,1230017400,332.9684269
1230019600,1230015100,332.9684269
1230024800,1230019500,10
1230024800,1230016300,415.2472055
1230024800,1230019600,415.2472055
1230024800,1230017300,415.2472055
1230024800,1230024800,0
1230024800,1230024700,845.0560079
1230024800,1230028200,845.0560079
1230024800,1230027100,845.0560079
1230024800,1230022200,10
1230024800,1230020700,485.6529075
1230024800,1230026800,485.6529075
1230024800,1230024400,485.6529075
1230024800,1230022100,485.6529075
1230024800,1230019900,10
1230024800,1230020000,440.2130987
1230024800,1230018700,440.2130987
1140033400,1140033400,0
1140033400,1140034800,584.9086288
1140033400,1140033300,584.9086288
1140033400,1140030700,584.9086288
1140033400,1140036400,584.9086288
1140034800,1140034800,0
1140034800,1150008900,528.968506
1140034800,1140034700,528.968506
1140034800,1140033300,10
1140034800,1140033400,584.9086288
1140034800,1140030700,10
1140034800,1140027400,780.686924
1140034800,1140023300,780.686924
1140034800,1140030800,780.686924
1140034800,1140036400,10
1140034800,1140036300,440.8384857
1140034800,1140039800,440.8384857
1140034800,1140038200,440.8384857
1140034800,1140038000,440.8384857
1150008900,1150008900,0
1150008900,1150009100,249.3490993
1150008900,1150008800,249.3490993
1150008900,1150008400,249.3490993
1150008900,1150009300,249.3490993
1150008900,1140034700,10
1150008900,1140034800,528.968506
1150008900,1140033300,528.968506
1150008900,1140030700,528.968506
1150008900,1140036400,528.968506
1150009100,1150009100,0
1150009100,1150009000,508.426143
1150009100,1150008600,508.426143
1150009100,1150009500,508.426143
1150009100,1150008800,10
1150009100,1150008900,249.3490993
1150009100,1140034700,249.3490993
1150009100,1150008400,10
1150009100,1150008500,561.9323061
1150009100,1150008300,561.9323061
1150009100,1150009300,10
1150009100,1150009400,521.1035109
1150009100,1150009700,521.1035109
1150009100,1150009200,521.1035109
1150009100,1150010500,521.1035109
1150009000,1150009000,0
1150009000,1150009100,508.426143
1150009000,1150008800,508.426143
1150009000,1150008400,508.426143
1150009000,1150009300,508.426143
1150009000,1150008600,10
1150009000,1150008000,639.9742125
1150009000,1150008700,639.9742125
1150009000,1150008200,639.9742125
1150009000,1150009500,10
1150009000,1150009400,198.0936932
1150009000,1150009700,198.0936932
1150009000,1150009200,198.0936932
1150009000,1150010500,198.0936932
1150008800,1150009100,10
1150008800,1150009000,508.426143
1150008800,1150008600,508.426143
1150008800,1150009500,508.426143
1150008800,1150008800,0
1150008800,1150008900,249.3490993
1150008800,1140034700,249.3490993
1150008800,1150008400,10
1150008800,1150008500,561.9323061
1150008800,1150008300,561.9323061
1150008800,1150009300,10
1150008800,1150009400,521.1035109
1150008800,1150009700,521.1035109
1150008800,1150009200,521.1035109
1150008800,1150010500,521.1035109
