,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,24.14,26.08,25.29,22.31,13.1,24.49,22.01,29.51,20.76,21.83,29.88,16.32,26.11,22.48,27.08,25.47,28.03,25.26,16.34,33.85,19.45,22.53,24.32,23.92,34.06,26.33,20.17,25.34,30.38,21.43,16.09,19.39,31.96,27.81,21.14,18.69,19.26,28.44,25.26,30.46,23.29,26.18,25.56,28.15,25.41,19.0,30.46,22.54,24.32,26.44,30.22,23.53,31.44,21.78,23.7,19.37,17.39,19.45,43.370000000000005,43.31,19.39
1,24.04,27.53,24.56,21.45,12.16,24.61,17.71,27.0,26.8,23.66,27.95,16.4,23.79,23.48,22.63,22.39,27.09,25.11,16.26,30.32,20.53,23.34,21.19,23.01,37.22,26.33,19.23,23.96,27.98,21.29,16.33,16.58,24.04,26.53,18.6,24.81,19.44,26.1,24.19,31.12,25.86,27.21,24.61,26.21,26.27,17.09,29.14,21.66,23.11,26.56,31.36,21.2,28.23,24.44,20.85,19.03,15.15,20.53,43.540000000000006,39.59,16.58
2,24.37,26.04,22.31,22.18,11.5,20.17,20.47,25.37,27.33,22.38,27.86,17.9,28.27,24.49,24.29,22.01,28.78,24.48,20.67,32.86,20.71,24.5,24.5,21.98,33.85,28.19,26.84,25.6,31.8,20.94,16.59,18.03,28.2,29.54,19.34,19.78,19.6,27.12,24.18,31.15,23.43,26.46,25.09,25.36,27.83,18.05,31.32,23.72,26.02,28.25,30.74,24.65,24.43,19.34,22.01,20.46,16.44,20.71,42.69,40.010000000000005,18.03
3,24.4,25.11,23.27,21.53,11.54,27.2,20.69,25.24,22.77,24.43,26.99,15.53,27.8,21.12,23.27,20.89,27.72,25.66,17.2,32.78,22.25,21.77,25.65,22.24,31.63,26.98,21.8,21.7,30.12,21.66,16.88,16.81,23.42,30.41,24.28,19.99,20.29,24.93,24.57,32.15,22.98,27.14,29.5,25.52,32.08,17.77,29.54,21.3,22.69,24.09,33.62,22.5,29.33,21.53,23.48,18.69,13.73,22.25,44.489999999999995,39.05,16.81
4,23.37,24.87,23.1,20.51,11.61,29.85,19.44,26.29,25.72,22.99,22.45,17.67,26.59,23.44,20.88,22.85,26.38,25.74,16.69,24.77,20.33,22.07,24.9,22.61,35.87,31.69,21.21,23.58,28.73,21.73,16.07,21.97,22.4,27.6,18.39,18.42,19.53,24.96,32.16,34.4,24.03,25.84,26.42,26.9,28.65,17.9,31.08,21.15,22.93,27.08,30.24,22.66,30.24,19.71,22.36,17.85,13.05,20.33,42.94,44.58,21.97
5,24.52,22.9,24.86,21.21,11.68,24.36,19.68,27.32,25.01,25.6,30.62,16.8,30.98,20.3,27.2,24.04,32.47,24.9,21.24,33.09,19.47,23.22,24.36,24.7,33.47,27.26,21.97,25.81,32.68,21.24,16.76,22.86,22.44,31.47,20.51,20.45,20.79,26.64,27.56,30.45,24.66,27.49,24.42,27.11,27.52,16.92,33.35,21.66,22.85,29.34,30.93,24.5,29.9,21.73,19.78,22.57,14.63,19.47,44.17,47.56,22.86
6,22.86,21.83,22.45,25.65,11.23,31.5,21.5,30.42,27.79,23.39,24.12,17.53,26.32,22.51,25.52,23.33,27.42,26.12,17.51,35.03,17.06,23.1,26.77,24.29,27.94,16.33,20.91,24.39,30.14,22.61,15.92,19.13,22.04,29.18,22.55,18.0,22.47,27.63,25.97,32.11,24.13,24.8,26.46,27.97,26.85,18.46,30.31,23.15,33.92,28.66,30.92,24.71,28.0,21.04,22.64,20.18,21.95,17.06,41.349999999999994,43.42,19.13
7,23.67,23.96,23.64,18.58,10.91,26.32,19.69,25.03,30.88,24.58,25.4,18.28,26.7,31.56,26.02,21.76,28.47,24.28,19.46,38.97,18.53,22.67,27.44,24.73,32.48,27.51,17.9,24.72,32.78,22.94,15.94,24.59,22.4,29.64,21.27,19.83,19.93,27.29,24.86,33.0,24.96,27.79,25.36,29.8,28.5,18.67,29.48,24.15,25.48,26.02,27.81,23.05,27.62,21.71,19.54,20.81,19.08,18.53,43.260000000000005,49.32,24.59
8,24.54,26.38,22.65,24.68,11.41,27.56,19.51,29.86,30.9,25.99,23.09,19.38,24.53,19.98,22.33,24.23,31.2,26.81,16.72,27.61,19.32,24.29,24.9,25.86,30.32,29.2,19.53,22.5,30.0,21.37,16.0,16.6,22.22,31.53,19.2,20.28,20.59,26.27,36.94,32.33,25.75,27.33,25.42,25.77,26.72,18.15,32.11,23.25,25.18,27.36,31.12,24.61,26.41,22.52,22.03,19.76,21.46,19.32,45.18,42.46,16.6
9,23.18,27.15,22.95,18.3,10.59,26.43,19.62,26.88,29.14,25.12,30.57,17.49,27.08,26.16,22.46,22.95,24.5,25.17,19.89,34.94,19.41,24.09,22.29,24.21,35.2,27.58,20.3,20.96,34.5,20.49,14.94,20.14,21.42,28.79,19.93,18.38,21.32,27.16,28.1,31.36,26.43,26.94,25.95,27.43,27.67,17.17,31.58,21.28,26.3,27.8,31.81,23.23,26.76,21.59,21.91,22.42,18.52,19.41,43.620000000000005,44.35,20.14
