지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
108,2019-01,-.9,4.1,-5.1,8.5,-10.1,20190119,20190116,1015.4,1026.4,1037.1,1017.7,20190103,20190123,2.7,6,.9,20190120,20190131,-12,46,11,20190124,0,0,,,20190128,,,63.3,3.3,44.3,2.3,20190128,20190128,1.8,6.8,12,320,340,20190128,20190108,3.1,1.9,215,70.01,285.25,,,,,,-11.1,-16.3,20190109,-.4,-.7,-.4,.1,.7,1.8,4.8,7.6,13.5,16.5
108,2019-02,1,6,-3.2,14.5,-10.2,20190223,20190208,1013.7,1024.5,1036.2,1008,20190212,20190203,3.2,8.4,.9,20190203,20190214,-10.1,47,15,20190223,23.8,16,,,20190203,,,71.1,4.2,49.7,3,20190226,20190223,1.8,5.5,10,320,290,20190207,20190207,4.8,2.7,190.5,62.98,319.96,3.3,3.3,6.7,20190219,20190219,-7.8,-14.5,20190201,1.6,1.2,1.3,1.5,1.7,1.9,3.9,6.1,11.5,15.1
108,2019-03,7.1,12.4,2.7,17.6,-1.7,20190326,20190314,1006.6,1017.1,1026.3,999.6,20190308,20190321,5.1,11.6,1.5,20190321,20190313,-3.4,51,10,20190309,26.8,16.5,,,20190320,,,109.2,5.6,76.5,3.9,20190326,20190329,2.1,7.2,14.9,320,340,20190313,20190313,4.7,3.2,203.8,54.99,417.72,,,,,,-2.6,-8.4,20190314,8.2,7.1,7.2,7,6.8,6.9,6.8,7.5,10.5,13.9
108,2019-04,12.1,17.6,7.2,28.2,.3,20190422,20190401,1004.8,1015.1,1025.1,1003.6,20190403,20190424,7.2,17.7,1.9,20190424,20190401,.7,51,10,20190416,47.3,17.4,3.8,1.2,20190409,20190409,20190425,147.9,8.2,103.4,5.8,20190416,20190416,1.9,7.3,12.8,320,320,20190414,20190414,4.9,2.9,221.6,56.13,502.12,,,,,,1.6,-6.7,20190401,14,12.6,12.3,11.8,11.4,11.2,10.3,10.1,10.8,13.1
108,2019-05,19.4,25.6,13.7,33.4,8.4,20190524,20190507,1001.6,1011.5,1019.7,999.8,20190504,20190527,10.2,22.8,2.8,20190519,20190506,6.4,47,12,20190506,37.8,22,6.1,2.2,20190519,20190520,20190520,230.1,10.1,161.3,7.1,20190505,20190505,2.1,6.1,12.3,230,290,20190520,20190520,3.8,1.2,314,71.4,701.39,,,,,,8.2,-.2,20190507,24.3,20.9,20.2,19.2,18.3,17.8,15.6,14.2,12.1,12.9
108,2019-06,22.5,27.7,18.1,32.8,14.1,20190625,20190602,997.2,1007,1016.1,994.3,20190625,20190629,16.1,25.2,7,20190627,20190602,13.8,61,22,20190602,74,35.3,12.1,4.7,20190607,20190607,20190618,178.8,8.8,124.9,6.2,20190624,20190624,1.7,5.3,9.9,270,320,20190615,20190603,5.4,3.4,235.1,53.18,589.02,,,,,,14.2,7.3,20190602,26.5,24.4,23.9,23.2,22.4,22.1,19.8,18.1,14.2,13.3
108,2019-07,25.9,30.1,22.7,36.1,19.3,20190706,20190710,996.2,1005.9,1012.2,997.7,20190717,20190720,22.6,33.2,12.3,20190725,20190707,19.1,69,24,20190706,194.4,62.3,26.3,11.9,20190731,20190731,20190731,144.2,9.5,101,6.7,20190706,20190706,1.8,5.9,11.8,200,180,20190730,20190730,7.2,5.3,150.1,33.44,426.99,,,,,,20.2,13.6,20190705,28.4,27,26.5,25.8,25.2,25,22.9,21.1,16.4,14.2
108,2019-08,27.2,31.6,23.6,36.8,18.5,20190806,20190831,996.9,1006.6,1015.6,990.8,20190831,20190815,24.2,37.6,12.6,20190803,20190823,20.4,69,28,20190823,190.5,56.2,29.4,7.6,20190812,20190829,20190829,160.1,8.1,112.1,5.7,20190810,20190810,1.6,7.5,12.1,200,200,20190829,20190829,5.6,3.5,239.3,58.59,486.24,,,,,,21,15,20190831,28.9,28,27.8,27.2,27,26.8,25.2,23.8,18.9,15.3
108,2019-09,22.6,27.1,19,30.5,13.6,20190916,20190919,1004.7,1014.6,1024.9,987.7,20190926,20190907,17.8,31.3,7.6,20190906,20190919,15.1,65,24,20190917,139.8,63.2,18.4,6,20190910,20190905,20190910,133.1,8.1,93,5.6,20190918,20190918,2.2,11.8,28.3,110,140,20190907,20190907,6.6,3.9,168.9,45.22,386.78,,,,,,15.4,8,20190919,24,23.5,23.8,23.6,23.8,24.1,23.9,23.6,20.6,16.7
108,2019-10,16.4,21.8,11.8,28.2,4.7,20191001,20191027,1008.8,1018.9,1029.6,1002,20191015,20191003,11.7,24.3,5.2,20191002,20191008,8.5,62,23,20191009,55.5,25.4,5.6,1.9,20191007,20191007,20191002,121.2,6.7,84.8,4.7,20191012,20191012,2.1,6.7,14.5,360,340,20191012,20191012,4.2,2.6,236.5,67.8,395.43,,,,,,7,-.5,20191027,17.1,17.5,18.1,18.4,19.8,19.7,20.8,21.4,20.2,17.7
