지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
174,2019-01-01 00:00,-2.8,,2.1,290,53,2.6,-11,1013.3,1034.5,,,,,0,0,,,1585,,,-4.7,,,,
174,2019-01-01 01:00,-2.4,,2,290,57,2.9,-9.7,1013,1034.2,,,,,0,0,,,1586,,,-4.6,,,,
174,2019-01-01 02:00,-2,,2.7,290,61,3.2,-8.5,1012.9,1034.1,,,,,0,0,,,1609,,,-4.3,,,,
174,2019-01-01 03:00,-1.6,,2.6,290,63,3.4,-7.7,1013,1034.1,,,,,0,0,,,1597,,,-4.1,,,,
174,2019-01-01 04:00,-1.3,,3.6,320,64,3.6,-7.2,1012.8,1033.9,,,,,6,3,,10,1721,,,-3.3,,,,
174,2019-01-01 05:00,-.7,,4.8,340,65,3.8,-6.4,1012.5,1033.5,,,,,0,0,,,1697,,,-1.8,,,,
174,2019-01-01 06:00,-.8,,4.8,320,66,3.8,-6.3,1012.1,1033.1,,,,,9,9,,11,1655,,,-2.4,,,,
174,2019-01-01 07:00,-1.2,,2.3,320,69,3.9,-6.1,1011.6,1032.7,,,,,7,5,,10,1702,,,-3.1,,,,
174,2019-01-01 08:00,-1.3,,2.8,320,71,4,-5.8,1011.6,1032.7,0,,,,7,0,,,1526,,,-2.4,,,,
174,2019-01-01 09:00,-.8,,3.7,360,68,3.9,-5.9,1012.8,1033.9,.6,,,,9,4,,9,1441,,,.1,,,,
174,2019-01-01 10:00,0,,3.5,360,68,4.2,-5.2,1013,1034,.1,,,,10,10,,10,1324,,,2.6,,,,
174,2019-01-01 11:00,1.5,,2.2,340,63,4.3,-4.7,1012.4,1033.3,.3,,,,8,8,,11,1458,,,4.5,,,,
174,2019-01-01 12:00,2.4,,3.6,320,59,4.3,-4.8,1010.7,1031.5,.8,,,,8,5,,10,1682,,,5.2,,,,
174,2019-01-01 13:00,2.3,,5.2,320,60,4.3,-4.6,1010.2,1031,.7,,,,8,8,,11,1687,,,5.2,,,,
174,2019-01-01 14:00,2,,4,320,67,4.8,-3.4,1009.6,1030.4,.6,,,,10,9,,9,1872,,,4,,,,
174,2019-01-01 15:00,.9,0,4.7,320,80,5.2,-2.1,1009.7,1030.6,.2,,,,10,10,,8,620,,,.9,,,,
174,2019-01-01 16:00,.7,,4.3,340,80,5.2,-2.3,1010,1030.9,.1,,,,10,9,,7,889,,,.5,,,,
174,2019-01-01 17:00,.6,,2.6,340,76,4.9,-3.1,1010.4,1031.3,0,,,,9,5,,8,1519,,,-.4,,,,
174,2019-01-01 18:00,-.6,0,2.1,340,77,4.5,-4.1,1011.1,1032.1,0,,,,10,10,,6,1594,,,-2.4,,,,
174,2019-01-01 19:00,-.8,,5,340,78,4.5,-4.1,1011.6,1032.6,,,,,0,0,,,1727,,,-2.4,,,,
174,2019-01-01 20:00,-1,,4.4,340,81,4.6,-3.8,1011.4,1032.4,,,,,9,9,,9,496,,,-1.6,,,,
174,2019-01-01 21:00,-1.1,0,5.6,340,81,4.6,-3.9,1011.2,1032.3,,,,,10,9,,13,1503,,,-2.5,,,,
174,2019-01-01 22:00,-1.2,,4.9,340,80,4.5,-4.2,1011.3,1032.4,,,,,9,9,,12,1111,,,-1.9,,,,
174,2019-01-01 23:00,-1.5,,3.7,340,83,4.5,-4,1011.4,1032.5,,,,,8,8,,5,820,,,-2.4,,,,
174,2019-01-02 00:00,-1.4,0,3.5,340,77,4.2,-4.9,1011.9,1033,,,,,0,0,,,1475,,,-2.5,,,,
174,2019-01-02 01:00,-2,,3.2,340,84,4.4,-4.3,1012.6,1033.8,,,,,0,0,,,521,,,-2.1,,,,
174,2019-01-02 02:00,-2.2,,2.4,320,79,4.1,-5.3,1012.6,1033.8,,,,,0,0,,,1519,,,-3.2,,,,
174,2019-01-02 03:00,-2.8,,2,320,80,4,-5.7,1013.1,1034.3,,,,,1,1,,8,1586,,,-3.2,,,,
174,2019-01-02 04:00,-3.1,,1.2,340,78,3.8,-6.3,1013.1,1034.4,,,,,9,9,,12,1481,,,-3.2,,,,
174,2019-01-02 05:00,-2.9,,1.9,290,76,3.8,-6.5,1012.8,1034,,,,,9,9,,12,1625,,,-2.5,,,,
174,2019-01-02 06:00,-3.2,,1.9,320,73,3.5,-7.3,1012.6,1033.9,,,,,0,0,,,1787,,,-3.6,,,,
174,2019-01-02 07:00,-3.7,,2.8,320,75,3.5,-7.4,1013.1,1034.4,,,,,0,0,,,1710,,,-4.3,,,,
174,2019-01-02 08:00,-3.7,,2.9,340,76,3.5,-7.3,1013.6,1034.9,0,,,,0,0,,,1763,,,-4.1,,,,
174,2019-01-02 09:00,-2.4,,2.5,290,71,3.6,-6.9,1014.1,1035.3,.7,,,,1,0,,,1735,,,-2.4,,,,
174,2019-01-02 10:00,-.1,,3.3,320,67,4.1,-5.5,1014,1035.1,1,,,,6,0,,,1932,,,-.7,,,,
174,2019-01-02 11:00,.9,,5.9,340,62,4.1,-5.5,1013.4,1034.3,1,,,,7,0,,,1727,,,.3,,,,
174,2019-01-02 12:00,2,,6.2,320,60,4.2,-4.9,1012.1,1032.9,1,,,,3,0,,,1859,,,3.3,,,,
174,2019-01-02 13:00,1.9,,6.1,320,58,4.1,-5.5,1011.6,1032.4,1,,,,4,0,,,1666,,,4.2,,,,
